zho,eng,zho_reverse,zho_eng_jaccard,eng_zho_jaccard,zh_nsubjs,en_nsubjs,rev_nsubjs
"这是生态城与新加坡务必达公司联合打造的自动驾驶旅游观光巴士
",This is an autonomous tourist bus built by Ecotourism and Singapore Business Services.,"这是一辆自动驾驶的旅游巴士,",0.4,0.375,1,1,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"  近年来，传统渔业发展空间逐渐缩小，不少渔民陆续选择“洗脚上岸”
","In recent years, the space for traditional fishing has been shrinking, and many fishermen have chosen to wash their feet on shore.","近年来,传统渔业的空间一直在缩小,许多渔民选择在岸上洗脚.",0.1111111111111111,1.0,2,2,2
"在普陀区桃花岛，很多退捕渔民找到了新出路
","In the Puducherry Islands, many returning fishermen have found new ways to fish.","在浦多奇里岛,许多回来的渔民发现了新的方法.",0.8333333333333334,1.0,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “玄武岩是月幔岩浆上涌并喷发到月表冷却形成的，能够为研究月球岩浆演化提供直接证据
","The basement rock is a layer of lunar mantle that flows and sprays to the surface of the moon, which provides direct evidence for the study of lunar rock evolution.","底层岩石是月球层,流向月球表面,提供了月球岩石进化研究的直接证据.",0.05555555555555555,0.5,2,3,1
"”论文共同通讯作者、中国地质科学院地质研究所研究员龙涛说
","Long, co-author of the paper and a researcher at the Institute of Geosciences of the Chinese Academy of Geological Sciences, said:","长,这篇论文的共同作者,",0.35294117647058826,0.26666666666666666,2,1,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　所谓“贴金调换”，指的是消费者仅需支付新饰品超出旧饰品重量部分的金价，并在此基础上支付一定的手续费以及新饰品的工费，即可换得新饰品
","The so-called gold-plated conversion coating refers to the fact that consumers only pay for new items of jewelry that exceed the weight of the old items, and on this basis pay a certain handling fee and the wages for new items, i.e. the new items can be exchanged.","所谓的金色转换涂层指的是,消费者只支付超过旧品重量的新珠宝,因此支付了一定处理费和新品工资,即新品可以交换.",0.0625,0.3684210526315789,2,3,4
"目前，这一置换方式最受消费者青睐
",The most popular alternative is the current consumer.,最受欢迎的选择是当前消费者.,1.0,0.8333333333333334,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　“我们大家都知道，中国错过了一次亚洲杯，但中国如果想办，明天就可以举办
","We all know that China missed an Asian Cup, but if China wants to do it, it can do it tomorrow.","我们都知道中国错过了亚洲杯,但如果中国想这样做,",0.1111111111111111,0.8888888888888888,3,4,3
"只要中国申办，就将成为最有力的竞争对手之一，中国所有的条件都具备，场馆都是现成的，为什么不呢？”
","If China declares itself, it will be one of the strongest competitors, China has all the conditions, the venue is ready, why not?","如果中国宣布自己,它将成为最强大的竞争对手之一,中国有所有条件,场馆准备好,为什么不?",0.8,0.6,3,4,3
"  深化农村改革要抓底线
",The country's rural reforms are a step forward.,农村改革是前进的一步.,0.16666666666666666,0.375,0,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  杨梅竹斜街的“神奇”邮筒　　熊文与杨梅竹斜街的红色邮筒
",The red stamps on the slopes of the Puma and Puma streets are the bear and the red stamps on the slopes of the Puma streets.,"马和马街坡上的红色邮票是熊,",0.1,0.5,0,1,1
"（新华每日电讯记者丁静摄）
",The Chinese government has also been trying to get the Chinese government to shut down its operations.,"为了让中国政府停止运营,",0.4444444444444444,0.3333333333333333,0,2,0
"　　吃辛辣食物对身体到底好不好？对这个问题的争议从未停过
",The debate on whether eating raw food is good for the body has never stopped.,关于吃生食物是否有益于身体的争论从来没有停止.,0.125,0.75,1,1,1
"专家表示，对于体质适宜的健康人群，适量摄入辛辣其实具有一定的保健作用
",Experts say that moderate intake of cinnamon has a certain health function for healthy people.,"专家说,适度摄入可对健康的人有一定健康作用.",0.7,0.6666666666666666,2,2,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　普京本周早些时候说，俄方愿意邀请美国参与开发俄罗斯矿产资源
","Earlier this week, Putin said that Russia was willing to invite the United States to participate in the development of Russian mineral resources.",俄罗斯愿意邀请美国参与俄罗斯矿产资源开发.,0.08333333333333333,0.5833333333333334,2,2,1
"俄总统新闻秘书德米特里·佩斯科夫说，双方可以联手开发北极地区自然资源
","Russian President Dmitry Peskov, the press secretary, said that the two sides could work together to develop the Arctic's natural resources.","俄罗斯总统佩斯科夫表示,双方可以共同开发北极自然资源.",0.8,0.7,2,2,2
"（胡若愚）
",(Sighs),没有什么可言.,1.0,0.6666666666666666,0,0,1
"  可以看出，微短剧“充值套路”已经不再是当下的主题，在用户需求与审美都在不断提升的今天，有优质内容生产能力的制作方将获得更多的收益和话语权，从而将高回报用于制作更精良的作品，形成“内容-流量-收益”的良性循环
","As you can see, the short-film stuffing suite of the film is no longer a topic of discussion, and with increasing user demand and aesthetic, producers with the ability to produce quality content will get more revenue and voiceover, thus using higher returns to produce better works, forming a good cycle of content-flow-revenue stuffing.","随着用户的需求和美学的增加,能够制作高质量的内容的制作人将获得更多收入和语音,从而利用更高的回报来制作更好的作品,形成了良好的内容流动收入充满周期.",0.07142857142857142,0.5,3,3,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　“长期过频的辛辣饮食对身体脏器的损害不容小觑，其中胃部首当其冲
","The long-term over-recurring consumption of spicy foods is not tolerant of damage to the body's organs, where the stomach is the first to be affected.","长期过度反复食用辛食物,不会容忍身体器官受损,胃是首先受影响的.",0.07142857142857142,0.23529411764705882,2,2,2
"”王蕤介绍，在胃镜下看，吃辣之后人的胃壁呈红色充血状态，胃酸分泌也会增多
","According to Wang, when people look under the stomach mirror, they see that after eating a snack, the stomach wall is red and blood is flowing, and the secretion of stomach acid increases.","根据王说,当人们看着胃镜子时,他们会看到吃零食后,胃墙红色,血液流动,",0.5714285714285714,0.5454545454545454,3,4,3
"长期充血和高酸环境会损伤胃黏膜，容易导致慢性胃炎甚至胃溃疡，而反复的炎症刺激是诱发胃癌的重要因素之一
","Long-term bloody and high-acid environments can damage the gastric mucosa, which can lead to chronic gastritis and even gastritis, and repeated inflammatory stimuli are an important factor in the development of stomach cancer.","长期的血和高酸性环境可能会损害胃粘膜,导致慢性胃炎甚至胃炎,反复炎症刺激是胃癌发育的一个重要因素.",0.6428571428571429,0.7692307692307693,2,3,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  春回大地，万象更新
","Spring is back on Earth, and the universe is renewed.","春天已经回到地球上,宇宙已经更新.",0.2,0.6666666666666666,0,1,2
"在内蒙古自治区巴彦淖尔市杭锦后旗广袤的田野上，翻耕、播种、育苗等春耕活动如火如荼地展开，田间地头随处可见农民忙碌的身影
","In the vast fields of Hangjin, Ba'an-Jin, the capital of the autonomous region of Myanmar, spring-farming activities such as tillage, planting, and growing of seedlings are being carried out like wildfire, with farmers' busy lives everywhere.","在缅甸自治区首都金的广田野, 春季农业活动如耕种,种植和种植苗木,",0.2777777777777778,0.42857142857142855,4,0,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  到了巴中，春天更热闹了些
",The weather was hotter in the spring than in the summer.,春天的天气比夏天更热.,0.14285714285714285,0.8571428571428571,0,1,1
"红梅仙子的故事仍在民间流传——一说她本是义阳山上一株梅树，修行多年，因与书生王鄂相识，动了凡心，未曾远去
","The story of Red Mei Sen is still in the folk tradition that she was a tree of the Mount Yiyang, practiced for many years, because of the meeting with the king of Shushan, touched the heart, and never went far.","红梅仙的故事仍然存在于民间传统中,她是山的树,经过了多年的练习,因为与苏珊国王的会面,",0.5833333333333334,0.8181818181818182,2,2,2
"后来，二人随蒲道官斩“巴蛇”，护住山中一方清静
","Then they followed the chief of the tunnel, and they held the mountain in silence.","他们跟随道长,住山.",0.75,0.7142857142857143,1,2,1
"如今，当地让旧故事发了新芽，恩阳大道两侧，红梅开得像一场绯红的雪，晨光一照，花瓣透明得像是绢做的
","Today, the local area has given new birth to old stories, and on both sides of the Yenyang Avenue, red meadow is like a red-hot snow, morning light is bright, and the flowers are transparent like a banana.","现在,当地地区已经给了旧故事新的生日,",0.5,0.375,3,4,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"    一撇一捺皆人生  首先，我们可以将书法艺术融入现代设计、广告和包装等领域中，为这些领域注入更多的文化内涵和审美价值
","First, we can integrate the art of writing into modern design, advertising and packaging, and infuse more cultural meaning and aesthetic value into these areas.","首先,我们可以将写作艺术融入现代设计,广告和包装中,",0.1111111111111111,0.4444444444444444,1,1,1
"其次，我们还可以利用互联网等新媒体平台来传播和推广书法艺术，让更多人能够便捷地了解和欣赏到书法作品
","Second, we can use new media platforms like the Internet to spread and promote the art of writing, so that more people can easily understand and appreciate the work of writing.","第二,我们可以利用互联网等新媒体传播和推广写作艺术,",0.6666666666666666,0.6666666666666666,1,2,1
"此外，我们还可以通过书法教育和培训活动来提高人们的审美情趣和文化素养，从而推动整个社会的文化进步和发展
","In addition, we can improve people's aesthetic interests and cultural literacy through literacy education and training activities, thus promoting the cultural progress and development of society as a whole.","此外,通过教育和培训活动,我们可以通过促进文化进步和整个社会的发展来提高人们的美学利益和文化识别.",0.6666666666666666,0.6666666666666666,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  违建拆除了，架空线入地了，下水道疏通了，公共空间增加了，胡同面貌为之一新
","The building was demolished, the airline was in the ground, the sewer was evacuated, public space was added, and the empty face was one of the new ones.","建筑被拆除,航空公司被毁,污水道被撤离,公共空间被添加,",0.1,0.4,6,2,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"  此外，生态城管委会还与国汽（北京）智能网联汽车研究院共同在生态城打造智能网联汽车产业生态中心，通过搭建政、产、学、研交流平台，促进跨行业、跨区域深度合作，加快智能网联汽车技术迭代和产业化发展
","In addition, the ECOC has also worked with the Beijing Institute of Smart Connected Vehicles to create an industrial eco-center for smart connected vehicles in ECOCity, building a platform for political, production, education, research and exchange, promoting deep cross-sectoral and cross-regional cooperation, accelerating the evolution and industrialization of smart connected vehicle technology.","此外,ECOC还与北京智能联网汽车研究所合作,在ECOC City建立智能联网汽车的工业生态中心,建立政治,生产,教育,研究和交流平台,促进深入的跨部门和跨区域合作,加速智能联网汽车技术的发展和工业化.",0.09090909090909091,0.6153846153846154,1,1,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　在被问及是否有特别印象深刻的球员时，约翰提到了三个号码
","When asked if there were any players who were particularly impressed, John mentioned three numbers.","当被问及有没有特别感兴趣的球员时,约翰提到了三个数字.",0.1111111111111111,0.7777777777777778,1,2,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"    面对“传统与创新”的永恒命题，李士杰的答案是“守正创新”
","In the face of the eternal challenge of the tradition of innovation and innovation, Li Lijiji's answer is to stick to the innovation.",李丽吉的答案是坚持创新.,0.08333333333333333,0.4166666666666667,1,1,1
"他创作的百米长卷《千字文》，通过同一字的不同写法打破单调，既考验体力，更考验对古法的理解
","His work, which is 100 meters long, is a collection of thousands of words, which, by using different spellings of the same word, breaks the tone, both to test the body and to test the understanding of ancient law.","他写的100米长的作品,是一系列数千个词,",0.5333333333333333,0.4,1,3,3
"“变，不能稀释根；新，不能失了魂
","It is a new, undying root, undying soul.","它是一个新的,不朽的根源,不朽的灵魂.",0.8,1.0,0,1,1
"”他强调，书法创新必须扎根传统，“比如在构图中融入现代色彩，但笔墨神韵仍需与古人对话”
","He stressed that while the literary innovation must root in tradition, such as the incorporation of modern colors into the composition, pen and ink still need to engage in dialogue with the ancients.","他强调,虽然文学创新必须根植于传统,例如将现代色彩纳入作文中,但笔和墨水仍然需要与古代人进行对话.",0.5714285714285714,0.6428571428571429,3,2,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  还有一些外卖小哥担心，企业给上社保会不会因此降低收入？是关注当前收入多拿现钱，还是着眼长远多些保障，不同人有不同考量
","Some of the young sellers are worried that companies will reduce their income by giving Social Security benefits, whether it's because of the current income or because of the long-term benefits that people have different considerations.","部分年轻卖家担心, 公司将通过提供社会保障福利来减少收入,",0.06666666666666667,0.4375,3,4,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  如今，阿勒泰地区“人类滑雪起源地”的称号已得到广泛认可
","Today, the name of the place where the human ski originated in the Aleutian region is widely accepted.","现在,人们普遍认为人类滑雪起源于阿勒地区的地点.",0.1,0.3076923076923077,1,1,2
"今年春节前夕，人类滑雪起源地博物馆在阿勒泰市开放，以古老毛皮滑雪板比赛为代表的系列纪念活动，为冬季旅游增添了独特的魅力
","On the eve of this spring, the Museum of the Origin of Human Skiing opened in the city of Aleppo to celebrate a series of events representing the ancient fur skis, adding a unique charm to winter tourism.","在今年春天前夕,阿勒市开设了人类滑雪起源博物馆,",0.7,0.5,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  推动新旧动能平稳接续转换，科技是源动力，产业是主渠道，关键要让科创与产业深度融合
","The key is to bring innovation and industry deeply into the mix, as technology is the main driver of the transformation of new and old energy, and industry is the main channel.","技术是新能源和旧能源转型的主要驱动力,工业是主要的道.",0.08333333333333333,0.5384615384615384,3,3,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  三是必须统筹好培育新动能和更新旧动能的关系，因地制宜发展新质生产力
","Third, we must coordinate the relationship between renewable energy and renewable old energy to develop new productivity.","第三,我们必须协调可再生能源与可再生能源的关系,以发展新的生产力.",0.14285714285714285,0.8571428571428571,0,1,1
"要以科技创新为引领，大力培育壮大新兴产业和未来产业，占据国际竞争制高点，塑造经济发展新动能、新优势
","To lead technological innovation, to foster strong growth of emerging and future industries, to take the high points of international competition, to shape the dynamics of economic development and new advantages.","领导技术创新,促进新兴和未来产业的强增长,掌握国际竞争的高点,塑造经济发展动态和新的优势.",0.5555555555555556,0.6363636363636364,0,0,1
"同时，加快推动作为经济增长和就业收入基本依托的传统产业改造升级，使之焕发新的生机活力，推动新旧发展动能平稳接续转换
","At the same time, accelerate the transformation and upgrading of traditional industries, which are the basis of economic growth and employment, to generate new vitality and drive smooth and continuous transformation of new and old development energies.","同时,加快传统工业的转型和升级,这些工业是经济增长和就业的基础,以产生新的活力,推动新的和旧的发展能量的顺利和持续转型.",0.4166666666666667,0.6923076923076923,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  尽管我国废旧电池数量庞大，但回收规范性却不足
","Despite the huge number of waste batteries in China, recycling standards are not enough.","尽管中国有大量的废电池,",0.125,0.5,3,1,0
"部分资质不全的企业通过旧电池粗加工牟利，不仅影响了废旧动力电池的回收利用率，还带来了环境污染和安全隐患
","Some of the companies that are not qualified to do this have profited from the rough processing of old batteries, which not only affects the recycling rate of used power batteries, but also poses environmental pollution and safety risks.","某些不合格的公司从旧电池的粗加工中获益,这不仅影响了使用电池的回收率,而且也带来了环境污染和安全风险.",0.5,0.4666666666666667,2,3,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “刚开始没经验，技术都靠到王涛涛那里‘取经’，合作社还帮我们统一售卖，销路和价格都不愁
","The company started with no experience, the technology was all in Wang's hands to earn money, and the cooperatives helped us unify sales, sales and prices.","公司开始没有经验, 技术全部掌握在王手中, 为了钱, 合作社帮助我们统一销售,销售和价格.",0.09090909090909091,0.5454545454545454,3,4,3
"”张世善说
","The first is the ""Greatest Day of the World"".","第一个是""世界上最伟大的日子"".",0.2857142857142857,0.8571428571428571,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　《实施意见》提出了实施生态环境领域科技创新五大行动
",The Commission has proposed five initiatives to implement scientific and technological innovation in the field of ecological environment.,"委员会提出了五项倡议,以实现生态环境领域的科学技术创新.",0.1,0.6,0,1,1
"一是生态环境领域基础研究提升行动，重点加强基础研究前沿布局，加大基础研究支持力度
","One is to promote basic research in the field of ecological environment, focusing on strengthening the frontline layout of basic research and increasing the strength of support for basic research.","一是促进生态环境领域的基础研究,重点加强基础研究的前线布局,并增加对基础研究的支持力度.",0.38461538461538464,0.38461538461538464,0,1,0
"二是关键技术攻关行动，重点推进实施一批关键技术攻关重大项目，开展国家重大战略区域和重点地区生态环境科技集成示范
","The second is the Key Technology Offensive Action, focusing on the implementation of a series of key technology offensive major projects and the demonstration of integration of ecological environmental and scientific technologies in key strategic regions and key regions of the country.","第二个是""关键技术进攻行动"",主要集中在实施一系列关键技术进攻重大项目,以及在国家关键战略区域和关键地区展示生态环境和科学技术的集成.",0.2857142857142857,0.2608695652173913,0,1,1
"三是生态环境科技成果转移转化行动，重点加快生态环境科技成果转化应用，强化绿色低碳产业链创新链融合
","The third is the Transformation of Ecological Environmental Science and Technology Outcomes, focusing on accelerating the transition of ecological environmental science and technology outcomes and strengthening the integration of green, low-carbon industrial chains and innovation chains.","第三个是""生态环境科学技术成果转型"",重点是加速生态环境科学技术成果的转型,加强绿色,低碳工业链和创新链的集成.",0.5,0.5,2,1,0
"四是科技创新平台基地优化行动，重点优化一批科技创新平台基地建设，推动生态环境科研基础设施建设，建立健全生态环境领域的国家战略科技力量
","Fourth, the action to optimize the base of the technology innovation platform, focusing on optimizing the construction of a number of technology innovation platforms, promoting the construction of ecosystem research and infrastructure, and building a sound national strategic and scientific force in the field of ecological environment.","第四,以优化技术创新平台的基础,重点优化一系列技术创新平台的建设,促进生态系统研究和基础设施的建设,并在生态环境领域建立健全的国家战略和科学力量.",0.35714285714285715,0.5,1,0,0
"五是高水平科技人才引领提升行动，重点加强生态环境科技人才队伍建设
","Five is high-level tech talent to lead the upliftment action, focusing on strengthening the ecosystem and tech talent pool.","五是高层技术人才领导升级行动,重点是加强生态系统和技术人才群.",0.4444444444444444,0.5555555555555556,0,1,0
"（记者 寇江泽）
",(Reporter Zhang Zi),报道者张齐,1.0,1.0,0,0,0
"  从纳入资产盘活项目台账，到获得超长期特别国债资金支持，到申请长期、低息的资产盘活项目银团贷款，再到迅速完成环评等关键行政审批……这个项目重启不仅是激活“沉睡”资产的又一成果，更是当地各部门互相配合“扫净屋子”的实践
","From the inclusion of asset reset project accounts, to obtaining over-term special bond funding support, to applying for long-term, low-interest asset reset project loans, to completing critical administrative approvals such as quick reviews... This project is a reboot of not only the activation of slum dormant assets, but also the practice of local departments working together to clean houses.","从包括资产重组项目账户,到获得过期特殊债券资金支持,到申请长期低利率资产重组项目贷款,到完成关键的行政批准,",0.1111111111111111,0.7777777777777778,2,1,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"  在采访中，不少用户提到，现在的智能家电大多停留在单体智能层面，与智慧家居的协同性不强
","In interviews, many users mentioned that today's smart home appliances are mostly left at the single-unit smart level, with little synergy with smart homes.","在采访中,许多用户提到,今天的智能家电主要在单个单元智能水平上使用,",0.1111111111111111,0.6363636363636364,3,1,2
"全屋家电的一体化，对提升用户的智能体验非常关键
",The integration of household electricity is crucial to enhance the smart experience of users.,家庭电力集成对于提高用户智能体验至关重要.,0.625,0.8571428571428571,0,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  记者了解到，案件始于一场普通的交通剐蹭事故
",The journalist learned that the case started in a normal traffic jam accident.,"记者了解到,案件始于正常的交通堵塞事故.",0.1,0.36363636363636365,2,2,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  白塔寺附近的丁章胡同能看到北京砖雕，民国才女凌叔华旧居变成史家胡同博物馆……北京三千余年建城史、八百余年建都史在纵横交错的胡同中凝结成最接地气的文化味道，构筑着古城与都城共生的未来
","The Qinghai-Chinese culture is a cultural experience that has been built over the years, and the city's history spans over 800 years. The city is built on the ruins of the ancient city of Beijing.","青海-中国文化是多年来建立的文化体验,该城市的历史跨越了800多年.",0.1,0.9,4,2,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  二是彰显能打胜仗的根本指向
",The second is the fundamental indicator of victory.,第二个是胜利的基本标志.,0.16666666666666666,0.5,0,1,0
"着眼强化各级当兵打仗、带兵打仗意识，在军人职责上突出战责，使各级各类人员职责更加鲜明体现备战打仗要求；在日常管理上突出战事，将“节日战备”调整为“节日或者重要时节战备”，新增“内务设置应当根据不同战备状态统一规范”等内容；在精减“五多”上降低战耗，对登记统计、行政会议、签写责任状保证书等作出限制规范
","Strengthen the awareness of the war in all levels of the military, bring the soldiers to war, highlight the war duty in the military duties, make the responsibilities of all levels of personnel more vividly reflect the requirements of war preparation; highlight the war in the daily management, adjust the holiday preparation to the holiday or important season of the war preparation, new indoor service settings should be according to the uniform regulations of different states of war preparation, reduce the war effort by more than five tonnes, make the registration statistics, administrative meetings, and signing of the guarantee of responsibility, etc.","加强军方各级的战争意识,将士兵带到战争中,强调军务中的战争义务,使各级人员的责任更清楚地反映了战争准备的要求;强调战争在日常管理中,调整节假日准备到节日或重要战战准备的季节,新的室内服务设置应按照不同国家的统一规范进行,减少战争投入超过五,制定注册统计,行政会议,签署责任保证等.",0.4117647058823529,0.3333333333333333,1,2,4
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　李家超对傅华的到访表示欢迎
",Li family welcomed the visit of Zhou Hua.,李家人欢迎周华的访问.,0.14285714285714285,0.7142857142857143,0,1,1
"他感谢新华社多年来积极报道香港新闻，把最新和最准确的信息快速和专业地传递到世界各地
","He thanked Xinhua for years of active coverage of Hong Kong news, bringing the latest and most accurate information quickly and professionally around the world.","他感谢新华社多年来积极报道香港新闻,迅速和专业地向全世界提供最新和最准确的信息.",0.7272727272727273,0.6363636363636364,2,1,2
"香港特区政府未来会继续与新华社携手向全球讲好香港故事
",The Hong Kong Special Administrative Region will continue to work with Xinhua to tell the world the story of Hong Kong in the future.,"香港特区将继续与新华社合作,向世界讲述香港的故事.",0.6666666666666666,0.7777777777777778,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　据介绍，大阪世博会中国馆的吉祥物是一只名叫悠悠的大熊猫
",The mascot for the Osaka Expo China is a giant panda named Yuyu.,大阪博览会中国的吉祥物是一个名叫尤尤的巨熊猫.,0.125,0.875,1,1,1
"“作为中国的国宝，大熊猫始终是中国在重大国际盛事上的友好使者
","As China's national treasure, the Panda has always been China's friendly messenger at major international events.","作为中国国家宝藏,熊猫一直是中国在主要国际活动中友好的使者.",0.5,0.5714285714285714,1,1,1
"它娇萌可爱、温和敦厚，是亲仁善邻、讲信修睦的中国文化符号，也是善良友好情感的生动化身
","It is a sweet, gentle, thick, and warm Chinese culture symbol of kindness, neighborliness, and friendliness.","华人文化中,它是一种甜蜜,温柔,厚厚,温暖的礼貌,友好和友好.",0.8571428571428571,0.625,1,1,1
"希望借助它这一显著特质，传达中国加强生物多样性保护，与全球各国一道共同构建人与自然和谐共生的地球家园美好愿景
",It is hoped that this remarkable feature will help China to strengthen its biodiversity protection and build a vision of a planet where people live in harmony with nature.,"预计这一显著特征将帮助中国加强其保护生物多样性,",0.375,0.4375,0,3,1
"”杨帆说
",I'm not sure.,我不确定.,1.0,1.0,1,1,1
"（记者韩佳诺、潘洁）
","(Reporter Hanjo, Panjie)","报道者汉乔,潘吉",0.6666666666666666,0.3333333333333333,0,0,1
"　　这篇报道分析，尽管伊斯坦布尔会谈议题仅限于恢复各自使馆正常运转，但一系列会谈可能最终促成美俄关系整体改善，包括在核裁军和经济合作领域
","The report analyzes that while the Istanbul talks are limited to restoring the normal functioning of their respective embassies, a series of talks could ultimately lead to an overall improvement in U.S.-Russia relations, including in the areas of nuclear disarmament and economic cooperation.","报告分析说,虽然伊斯坦布尔谈判仅限于恢复各自大使馆正常运作,",0.06666666666666667,0.47058823529411764,5,2,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　张翔表示，期待香港大学和新华社发挥各自优势，建立长期、紧密的合作关系
","Zhang Xiaong said he looks forward to the University of Hong Kong and Xinhua Corporation playing their part in building long-term, close cooperation.","张晓龙表示,他期待香港大学和新华公司在建立长期,密切合作方面发挥作用.",0.07142857142857142,0.5,1,3,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  以往对月球正面样品的研究支持这一假说，而后期基于月球陨石、遥感观测等的研究发现，月球背面和正面的演化不完全一致，月球岩浆洋假说受到质疑
","Previous studies of positive samples of the Moon supported this hypothesis, while later studies based on lunar meteorite, remote sensing, and other observations found that the Moon's back and front evolution were not entirely consistent, and the hypothesis of lunar rock erosion was questioned.","之前的月球正面样本研究支持了这一假设,而后来的月球石,遥感和其他观测研究发现月球的后面和前进进不是完全一致的,月球岩石侵蚀的假设被质疑.",0.07142857142857142,0.14285714285714285,3,4,4
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “目前，高校对科学研究、人才培养、社会服务的三维考核机制中，科普的能见度不高，难以引起教师足够的重视
","At present, the three-dimensional examination mechanisms of scientific research, talent development and social services at universities are not as visible and are not enough to attract the attention of teachers.","目前,大学的科学研究,人才发展和社会服务的三维考试机制不太明显,",0.1111111111111111,0.6666666666666666,2,1,1
"建议进一步将科普纳入职称评定、绩效考核等规章制度，牵引激发高校教师科普动力
","It is proposed to further incorporate the KOP into the rules system of job ranking, performance evaluation and other regulations, which stimulates the motivation of the KOP teachers in the higher education sector.","建议进一步将KOP纳入职位排名,绩效评估和其他规则的规则体系,从而刺激KOP教师在高等教育领域的动机.",0.5454545454545454,0.5454545454545454,0,1,0
"”周程说
",I'm not sure what I'm saying.,我不确定我说什么.,0.4,0.5,1,2,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  在香港举行的开通仪式上，新华通讯社社长傅华指出，新华社愿以客户端亚太频道上线为契机，持续创新传播方式，用心用情向世界宣介好习近平新时代中国特色社会主义思想的真理力量，展现好进一步全面深化改革、推进中国式现代化的万千气象，反映好香港全力拼经济、谋发展、惠民生、添幸福的丰硕成果，报道好中国与地区国家推动构建亚太命运共同体、努力开创亚太发展新时代的进展成效，让全世界都能听到并听清我们的声音
","At the opening ceremony in Hong Kong, Xinhua News Agency Director Liu Hua noted that Xinhua is willing to use its customer-oriented Asia-Pacific channel as an opportunity to continue to innovate and spread the message, to spread the truth of the Chinese socialist ideology of Xi Jinping's new era to the world, to further deepen the comprehensive reforms, to advance the millennium of Chinese modernity, to reflect Hong Kong's rich achievements in economic endeavour, development, prosperity and prosperity, to report on China and the countries of the region promoting the construction of the Asia-Pacific Fate Community, and to work to bring about the progress of the new era of Asian development, so that the world can hear and hear our voices.","在香港开幕式上,新华社新闻社总监华指出,新华社愿意利用其以客户为导向的亚太频道作为继续创新和传播信息的机会,向世界传播习近平新时代的中国社会主义意识形态的真相,进一步深化全面改革,推进中国现代千年,反映香港在经济努力,发展,繁荣和繁荣方面的丰富成就,报告中国和该地区促进亚太命运共同体建设的国家,并努力推动亚洲发展新时代的进步,让世界能听到我们的声音.",0.037037037037037035,0.41935483870967744,5,3,5
"
",The first is,第一个是,0.25,0.4,0,1,0
"  今年中央一号文件提出，健全农业转移人口市民化机制
","This year, the Central Document No. 1 proposed to strengthen the mechanism for demographic citizenship in agricultural transfers.","今年,中央文件1提出加强农业转让人口公民身份机制.",0.1,0.7,2,1,1
"推动转移支付、新增建设用地指标、基础设施建设投资等与农业转移人口市民化挂钩
","Promoting the transfer of payments, new construction land use indicators, infrastructure investment, and other links to demographic citizenship in agriculture.","促进支付转让,新建土地利用指标,基础设施投资和其他与农业人口公民关系的联系.",0.75,0.625,0,0,0
"鼓励有条件的城市逐步将稳定就业生活的农业转移人口纳入城市住房保障政策范围
",Conditional cities are encouraged to gradually integrate the agricultural transfer population of stable employment into the scope of urban housing policy.,条件城市被鼓励逐步将稳定的就业农业转移人口纳入城市住房政策的范围.,0.8571428571428571,0.8571428571428571,0,0,0
"全面取消在就业地参保户籍限制
",The government has abolished the restrictions on insurers in the workplace.,政府已经取消了对保险公司在工作场所的限制.,0.5714285714285714,0.7142857142857143,0,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
