zho,eng,zho_reverse
"  威廉姆斯认为，美国利用乌克兰面临的困境获得关键矿产资源，证明美国是“机会主义者”，而美国政府似乎已经成为一个“攫取他国资源的机会主义对冲基金”
","Williams argues that the United States has used the difficult situation in Ukraine to access critical mineral resources to prove that the United States is a hedge fund of opportunists, while the U.S. government appears to have become a hedge fund of opportunists who are exploiting other countries' resources.","威廉姆斯认为,美国利用乌克兰的困难情况获取关键矿产资源来证明美国是机会主义者的对冲基金,而美国政府似乎已成为利用其他国家的资源的机会主义者的对冲基金."
"  美国波士顿大学商学院金融学教授马克·威廉姆斯表示，矿产协议具体条款仍不清晰
","Mark Williams, a professor of finance at Boston University School of Business, said the specific terms of the Mining Agreement were unclear.","波士顿大学商学院的财务教授马克·威廉姆斯说,"
"“对于美国矿业公司能否获得准入，或是由乌克兰矿业公司负责开采和供应安排等细节都不明朗
","It is unclear whether the U.S. mining company will be able to access the mine, or whether the Ukrainian mining company will be responsible for the extraction and supply arrangements.","目前尚不清楚美国矿业公司是否能够进入矿山,或者乌克兰矿业公司是否负责采矿和供应安排."
"即使达成矿产协议，乌克兰是否有能力和意愿无限期地履行这份合同？”  第三是利益问题
",The question is whether Ukraine has the capacity and willingness to implement the treaty indefinitely even if the Mining Agreement is reached.,"乌克兰是否有能力和愿意无限期执行该条约,即使达成采矿协议."
"在美方压力下，乌克兰方面同意签署协议，但双方利益分歧没有从根本上化解
","Under US pressure, the Ukrainian side agreed to sign the agreement, but the differences in interests between the two sides were not fundamentally resolved.","乌克兰双方在美国的压力下同意签署协议,"
"  会议提出，金融监管总局将加强与国家发展改革委的协同配合，推动优化股权投资环境，调动更多资金和资源支持试点
",The meeting proposed that the Directorate-General for Financial Regulation will strengthen cooperation with the National Development and Reform Commission to promote an optimal equity investment environment and mobilize more funds and resources to support pilot projects.,"会议提出,财政监管总局将加强与国家发展和改革委员会合作,促进最佳的股权投资环境,并调动更多资金和资源支持试点项目."
"持续总结试点经验，优化完善试点政策，推动试点工作有序扩围
","Continuous summary of pilot experience, optimization and improvement of pilot policies, and promotion of orderly expansion of pilot work.","持续总结试点经验,优化和改善试点政策,促进试点工作的有序扩张."
"  吴谦说，美方需要的不是什么“铁穹”，而是要打破禁锢自己思想的“铁幕”
","The US needs not a iron curtain, but to break the iron curtain that has blocked its own thinking, said Xi.","习近平表示,美国不需要铁幕,而是要打破阻碍其思想的铁幕."
"中方要求美方摒弃冷战思维，停止渲染他国威胁，停止制造军事对抗
","China has called on the US to abandon the Cold War, stop making threats to other countries, and stop making military clashes.","中国呼吁美国放弃冷战,停止对其他国家进行威胁,"
"  【记者观察】农民开网店，拓宽了农产品的销售渠道，开辟了农民增收的新途径
","The report also noted that the Chinese farmers have opened online stores, expanded channels for selling agricultural products, and opened up new avenues for farmers to raise their income.","报告还指出,中国农民已经开设了网上商店,扩大了销售农产品的道,"
"今年中央一号文件提出“推动农村电商高质量发展”“实施数字乡村强农惠农富农专项行动”
","This year, the Central Document No. 1 proposes to promote high-quality development of rural e-commerce and implement a special action on digital rural farming, farming and agriculture.","今年,中央文件第1号提出促进农村电子商务的高质量发展,并实施数字农业,农业和农业的特别行动."
"未来各地还应继续加大对农村地区的相关投入，加力培育既懂得现代农业知识又掌握电商技能的新型农民，为乡村振兴注入源源不断的新活力
","In the future, the country should continue to increase its contribution to rural areas, and to foster new farmers with modern agricultural knowledge and e-commerce skills, and to provide a constant source of energy for rural revitalization.","未来,该国应继续增加对农村地区的贡献,并培养具有现代农业知识和电子商务技能的新农民,并为农村振兴提供持续的能源."
"  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
","To this end, relevant departments will implement planning and implementation of supervision, strengthen supervision inspections of the strictly observed baseline of space security, and strongly maintain the authority and seriousness of the planning; implement monitoring assessment pre-warning mechanisms and optimized adjustment mechanisms for the national geospatial planning; strengthen the planning of regular medical examinations and five-year assessments, based on the results of medical examinations, and combine the national economic and social development plan with timely optimization of the planning adjustments, and actively adapt to the new needs of economic and social development.","为此,有关部门将实施监督规划和实施,加强监督检查,严格遵守空间安全基线,并强烈维持规划的权威和严重性;实施监测评估预警机制和优化调整机制,为国家地质规划;加强基于医疗检查结果的定期医疗检查和五年评估的规划,并将国家经济和社会发展计划与规划调整的及时优化结合,积极适应经济和社会发展的新需求."
"  自然资源部有关负责人强调，要强化规划权威
",The Ministry of Natural Resources's relevant heads stressed the need to strengthen planning authority.,自然资源部有关负责人强调加强规划权力.
"规划一经批复，任何部门和个人不得随意修改、违规变更，防止出现换一届党委和政府改一次规划
","The plan, once criticized, must not be modified or altered by any department or individual to prevent another Party Committee or Government from changing the plan.","一旦被批评,该计划不得由任何部门或个人修改或改变,以防止其他党委或政府改变该计划."
"下级国土空间规划要服从上级国土空间规划，相关专项规划、详细规划要服从总体规划；坚持先规划、后实施，不得违反国土空间规划进行各类开发建设活动；坚持“多规合一”，不在国土空间规划体系之外另设其他空间规划
","Sub-national space planning must obey the upper-national space planning, special planning and detailed planning must obey the overall planning; adhere to pre-planning and post-implementation, must not violate the national space planning for development and construction activities; adhere to the multi-discipline, and not to alternative space planning other than the national space planning system.","亚国家空间规划必须遵守上层国家空间规划,特别规划和详细规划必须遵守总体规划;遵守预规划和后实施,不得违反国家空间规划,用于开发和建设活动;遵守多学科规划,而不是其他国家空间规划系统的替代空间规划."
"  此外，规划将统筹农业、生态、城镇空间，完善城镇体系和村庄布局，完善城市功能结构和空间布局，协调产业布局、综合交通、设施配置和土地使用，统筹水利、能源、环境、通信、国防等基础设施以及城乡公共服务设施布局等
","In addition, the plan will include the consolidation of agricultural, ecological, town space, improvement of town and village layout, improvement of urban functional and spatial layout, coordination of industrial layout, integrated transportation, facility allocation and land use, consolidation of water, energy, environment, communications, defense, and infrastructure, as well as urban and rural public service facilities.","此外,该计划将包括农业,生态,城市空间的整合,改善城市和村庄布局,改善城市功能和空间布局,协调工业布局,集成交通,设施分配和土地使用,水,能源,环境,通信,国防和基础设施的整合,以及城市和农村公共服务设施."
"加强规划与土地政策融合，统筹增量和存量空间，大力盘活存量空间，科学有序推进低效用地再开发和土地综合整治，加强地上地下空间一体化规划和利用，推动土地利用提质增效，为城市转型发展和有机更新提供新动能
","Strengthen planning and land policy integration, consolidate growth and storage space, intensify the use of live storage space, advance scientifically the efficient development of inefficient land and land integrated rehabilitation, strengthen the integration of land and underground space planning and utilization, promote the increased efficiency of land use, and provide renewable energy for urban transformation and organic renewal.","加强规划和土地政策整合,巩固增长和存储空间,加大活存储空间的使用,科学上推动高效地产和土地综合复兴的发展,加强土地和地下空间规划和利用的整合,促进土地利用的提高效率,为城市转型和有机更新提供可再生能源."
"  据介绍，本轮规划将严格落实国家和省级国土空间规划下达的耕地和永久基本农田、生态保护红线、城镇开发边界三条控制线，将其作为调整经济结构、规划产业发展、推进城镇化不可逾越的红线
","The three lines of control for the development of the border between towns and cities will be implemented strictly in the national and provincial national land and land plans, including the land and permanent basic agricultural land, the Red Line of Ecological Protection and the Red Line of Urban Development.","城市和城镇之间的边界发展的三条控制线将严格落实在国家和省级国家土地和土地计划中,包括土地和永久基础农业土地,生态保护红线和城市发展红线."
"同时加强区域协同，发挥超大特大城市的区域发展引擎作用，引领形成多中心、网络化、开放式、集约型的区域发展格局，促进形成以城市群、都市圈为主要形态的新型城镇化格局，构建支撑新发展格局的主体功能明显、优势互补、高质量发展的国土空间体系
","At the same time, regional cooperation is strengthened, and regional development engines of super-large cities are played, leading the formation of a multi-centric, networked, open, and concentrated regional development pattern, promoting the formation of new urbanisation patterns that are the main form of urban groups and urban circles, and building a system of land spaces that supports the main features of the new development pattern, with distinct advantages, complementarities and high-quality development.","同时,加强区域合作,发挥超大城市的区域发展引擎,从而形成多中心,网络,开放和集中区域发展模式,促进形成城市群体和城市圈的主要城市化模式,并建立一个支持新发展模式的主要土地空间系统,具有明显的优势,互补性和高质量的发展."
"  自然资源部有关负责人称，本轮规划落实要加快超大特大城市转变发展方式的要求，发挥源头治理和系统治理作用，全面贯彻新发展理念，坚持以人民为中心，统筹发展和安全，促进人与自然和谐共生，整体谋划国土空间开发保护格局，推进超大特大城市治理体系和治理能力现代化，为推进中国式现代化提供坚实支撑
","The relevant officials in the Ministry of Natural Resources said that the round of planning is implementing the requirements to accelerate the transformation of the way of development of the megacity, play the role of source governance and system governance, fully implement the new development concepts, stick to people-centric, unified development and security, promote people and nature coexistence and coexistence, plan the overall landscape of national development and protection of the land, promote the modernization of megacity governance systems and governance capacity, and provide solid support for the promotion of Chinese modernisation.","自然资源部相关官员表示,计划阶段将实现加速大城市发展方式的转型,发挥源治理和系统治理的作用,全面实施新发展理念,坚持以人为中心,统一发展和安全,促进人民和自然共存和共存,规划国家发展和保护土地的整体景观,促进大城市治理体系和治理能力的现代化,并为中国现代化提供坚实的支持."
"  在全国范围编制国土空间规划的原因是，各级各类空间规划在支撑城镇化快速发展、促进国土空间合理利用和有效保护方面发挥了积极作用，但也存在规划类型过多、内容重叠冲突，审批流程复杂、周期过长，地方规划朝令夕改等问题
","The reason for the nationwide preparation of national spatial planning is that spatial planning at all levels plays a positive role in supporting rapid urbanisation, promoting the rational use and effective protection of national space, but there are also problems of over-typing, content overlapping conflicts, complexity of approval processes, over-duration of cycles, and local planning directions for change.","各国各地的国家空间规划的准备是因为,各级的空间规划在支持快速城市化,促进合理利用和有效保护国家空间方面发挥了积极作用,但也存在过度类型化,内容重叠冲突,审批流程的复杂性,周期过长以及改变地方规划方向的问题."
"为此，我国将主体功能区规划、土地利用规划、城乡规划等空间规划融合为统一的国土空间规划，实现“多规合一”
","To this end, we have integrated spatial planning such as main functional area planning, land use planning, urban and rural planning into a unified national spatial planning, to achieve a multi-codification.","为此,我们将主要功能区域规划,土地利用规划,城市和农村规划等空间规划集成到一个统一的国家空间规划中,以实现多项编码."
"  春季是万物生发的季节，也是保健养生的黄金期
",Spring is the season of everything and the golden age of health care.,"春天是一切的季节,"
"专家提醒，在预防“春病”的同时，要科学适度地进行体育锻炼，强健体魄，注重饮食的营养均衡，早睡早起，保持积极乐观的心态，为一整年的健康打下良好的基础
","Experts remind that while preventing acne, science should provide moderate exercise, strong physical activity, a balanced diet, early sleep, a positive and optimistic mindset, and a good foundation for healthy health throughout the year.","专家提醒,虽然可以预防,但科学应该提供适度运动,强烈的身体活动,均衡的饮食,早睡,积极的乐观思维,以及一年中健康的良好基础."
"  春季常见的消化系统疾病包括细菌性食物中毒、细菌性痢疾、急性胃肠炎、消化不良等
","Common digestive diseases in the spring include bacterial food poisoning, bacterial dysentery, acute gastroenteritis, and indigestion.","春季常见的消化疾病包括细菌食物中毒,细菌性,急性胃肠炎和消化不良."
"何筱胤提醒，多种消化系统疾病都会出现呕吐、腹泻的症状，患者用药须谨慎，切勿在未查明病因的情况下盲目使用抗生素
","The WHO warns that many diseases of the digestive system can cause symptoms of vomiting and diarrhea, and patients should use medications with caution and avoid using antibiotics blindly without identifying the cause.","世界卫生组织警告说,消化系统的许多疾病可能会导致吐和腹的症状,"
"　　粮食安全是“国之大者”，只有把牢粮食安全主动权，才能把稳强国复兴主动权，才能为中国式现代化建设提供可靠保障
","Food security is the biggest issue in the world, and only by strengthening the initiative in food security can a strong country regain its power and provide a reliable guarantee for China's modern construction.","只有加强粮食安全的倡议, 一个强大的国家才能恢复力量,"
"　　保障粮食安全，还应进一步健全粮食生产支持政策体系
",The Commission's proposal to strengthen the food security policy system should also be implemented in order to ensure food security.,"为了确保粮食安全,应执行委员会加强粮食安全政策体系的建议."
"各方都要躬身入局，形成合力，进一步强化强农惠农支持，保护农民种粮积极性，提高补贴的精准性与指向性，完善中央统筹下的粮食产销区省际横向利益补偿机制，让主产区抓粮得实惠、不吃亏，更好构建饭碗一起端、责任一起扛的粮食安全格局
","All parties should join forces to build a stronger support for farmers, protect farmers' food motivation, improve the accuracy and direction of subsidies, improve the interprovincial side-by-side benefit compensation mechanism for food distribution zones under central control, allow the main production areas to grab food at affordable, without losing, and better build a food safety framework that meets the needs of the food chain.","所有各方应联合起来为农民提供更强大的支持,保护农民的粮食动机,提高补贴的准确性和方向,改善中央控制的粮食分销区的省间附属福利补偿机制,允许主要生产区以负担得起的价格获得粮食,而不亏损,并更好地建立符合粮食链需求的粮食安全框架."
"  中央驻港机构、香港特区政府、驻港中资机构及香港各界代表参加了当天的开通仪式
","Representatives from the Central Bank of Hong Kong, the Hong Kong Special Administrative Region, the Central Bank of Hong Kong and Hong Kong participated in the opening ceremony.","香港中央银行,香港特别行政区,香港中央银行和香港代表参加了开幕式."
"  同日，“国社之镜·世纪光影”新华社新闻摄影展在香港举行
","On the same day, the Xiaoyuan Media Company's Mirror, Century Shadow and Xiaoyuan Media Company News Photography exhibition was held in Hong Kong.","同日,在香港举行了小媒体公司镜子,世纪影子和小媒体公司新闻摄影展览."
"这些新华社摄影精品生动展现了新中国成立以来的历史变迁和伟大成就
",These photos from the Xinhua Agency showcase the historical changes and great achievements that have taken place since the founding of the new China.,"据新华社报道,这些照片显示了自新中国成立以来的历史变化和重大成就."
"开通仪式后，嘉宾们共同参观了摄影展
","After the opening ceremony, guests visited the photography exhibition together.","开幕式结束后,客人一起参观了摄影展览."
"  新华社客户端是海内外受众了解中国故事的“掌上门户”
",The Chinese news agency's client is a door-to-door audience that understands the Chinese story.,"报道机构的客户是门户观众,"
"此次上线开通的新华社客户端亚太频道，设有焦点、港澳、镜观、访谈等栏目，向广大受众提供高质量新闻信息服务，深入阐释中国理念、中国主张、中国方案，向受众展示真实、立体、全面的中国
","The Chinese-language Asia-Pacific channel, which is a Chinese-language client channel, with focus, Hong Kong, mirror images, interviews, and more, offers high-quality news information services to a wide audience, provides in-depth explanations of Chinese ideas, Chinese claims, and Chinese programs, and shows the audience the real, trivial, and holistic China.","华语亚太频道是华语客户端频道, 专注于香港,镜像图像,面试等, 提供高质量的新闻信息服务, 给广大观众提供深入的解释中国的想法,"
"  中央人民政府驻香港特别行政区联络办公室秘书长王松苗表示，新华社是国家通讯社和具有全球影响力的世界级媒体，长期以来赢得了国内外受众的广泛赞誉
","Wang Tsun-mi, Secretary-General of the Liaison Office of the Central People's Government in Hong Kong's Special Administrative Region, said that Xinhua is a national news agency and a world-class media with global influence that has long won wide acclaim from audiences at home and abroad.","香港中央人民政府特别行政区联络局秘书长王米表示,新华社是一家国家新闻机构,也是具有全球影响力的世界级媒体,"
"相信新华社客户端亚太频道必将成为服务国家大局、赋能由治及兴、讲好香港故事、传播中国声音、树立中国形象的又一重要平台
","I believe that the Asia-Pacific Channel, a Chinese company's client, will become a major national service, empowering governments and people to tell Hong Kong stories, spread Chinese voices, and build a Chinese image.","我相信亚太运输运输运输, 作为中国公司的客户, 将成为一个主要的国家服务,"
"  “科学应对气候变化是保护人民健康和推动经济高质量发展的重要一环
",The science of climate change is an important part of protecting people's health and promoting high-quality economic development.,气候变化科学是保护人民健康和促进高质量的经济发展的重要组成部分.
"”张兴赢坚信，通过科技创新、政策引导和国际合作，中国在应对气候变化的全球行动中将发挥更大作用，为构建人类命运共同体贡献中国智慧和力量
","Zhang Jingwen believes that through technological innovation and policy-led international cooperation, China will play a greater role in global action to combat climate change and contribute to China's wisdom and strength in building a community of human destiny.","张文认为,通过技术创新和政策领导的国际合作,中国将在应对气候变化的全球行动中发挥更大的作用,并为中国在建立人类命运共同体方面发挥智慧和力量."
"  针对此次作弊事件，中国围棋协会将进一步修订完善《纪律准则和处罚规定》，建立退出机制，对作弊、赌棋等行为查实一起，严惩一起，绝不姑息
","In response to the fraud, the Chinese Chess Association will further revise the rules and penalties for cheating, establish a withdrawal mechanism, and investigate cheating and other activities, including cheating, and punish them severely, without any interest.","为了应对欺诈行为,中国象棋协会将进一步修订欺诈规则和处罚,建立退款机制,调查欺诈和其他活动,包括欺诈,并严厉地惩罚他们,没有任何兴趣."
"  据记者了解，对于此次作弊事件，中国围棋协会专门成立了调查小组，与秦思玥本人进行了核实谈话，经过了听证流程，其本人也承认在这次比赛中的作弊行为
","According to the reporter, the Chinese GoCoin Association has set up a special investigation team to investigate the fraud, which was verified by the Chinese GoCoin Association, who had a conversation with the Chinese GoCoin person after the hearing process, and who also admitted to the fraud in the game.","据记者称,中国GoCoin协会成立了一个专门调查团队调查欺诈行为,"
"中国围棋协会纪律与道德工作委员会最终做出了对她的处罚决定
",The Chinese Chess Association's Discipline and Ethics Committee finally decided on her punishment.,博国际娱乐平台网址:
"  《乔石文集》的编辑出版，对于广大干部群众系统学习党领导改革开放和社会主义现代化建设新时期的历史，进一步用习近平新时代中国特色社会主义思想武装全党、教育人民、指导实践、推动工作，具有重要意义
","The editorials of the Jiaxing-Jin's collection, published by Jiaxing-Jin, are important for the broad-based mass system to learn the history of party leadership, reform, opening up and socialist modernization in the new era of construction, and to further use the Chinese characteristic socialist ideas of the Xi Jinping New Age to arm the whole party, educate the people, guide practices, promote work, and provide meaningful information.","贾兴的编辑作品,由贾兴出版,对于广泛的群众系统来说,是重要的,以了解新时代的党领导,改革,开放和社会主义现代化历史,并进一步利用习近平新时代的中国特征社会主义思想,为整个党武装,教育人民,指导实践,促进工作,提供有意义的信息."
"　　《实施意见》提出了实施生态环境领域科技创新五大行动
",The Commission has proposed five initiatives to implement scientific and technological innovation in the field of ecological environment.,"委员会提出了五项倡议,以实现生态环境领域的科学技术创新."
"一是生态环境领域基础研究提升行动，重点加强基础研究前沿布局，加大基础研究支持力度
","One is to promote basic research in the field of ecological environment, focusing on strengthening the frontline layout of basic research and increasing the strength of support for basic research.","一是促进生态环境领域的基础研究,重点加强基础研究的前线布局,并增加对基础研究的支持力度."
"二是关键技术攻关行动，重点推进实施一批关键技术攻关重大项目，开展国家重大战略区域和重点地区生态环境科技集成示范
","The second is the Key Technology Offensive Action, focusing on the implementation of a series of key technology offensive major projects and the demonstration of integration of ecological environmental and scientific technologies in key strategic regions and key regions of the country.","第二个是""关键技术进攻行动"",主要集中在实施一系列关键技术进攻重大项目,以及在国家关键战略区域和关键地区展示生态环境和科学技术的集成."
"三是生态环境科技成果转移转化行动，重点加快生态环境科技成果转化应用，强化绿色低碳产业链创新链融合
","The third is the Transformation of Ecological Environmental Science and Technology Outcomes, focusing on accelerating the transition of ecological environmental science and technology outcomes and strengthening the integration of green, low-carbon industrial chains and innovation chains.","第三个是""生态环境科学技术成果转型"",重点是加速生态环境科学技术成果的转型,加强绿色,低碳工业链和创新链的集成."
"四是科技创新平台基地优化行动，重点优化一批科技创新平台基地建设，推动生态环境科研基础设施建设，建立健全生态环境领域的国家战略科技力量
","Fourth, the action to optimize the base of the technology innovation platform, focusing on optimizing the construction of a number of technology innovation platforms, promoting the construction of ecosystem research and infrastructure, and building a sound national strategic and scientific force in the field of ecological environment.","第四,以优化技术创新平台的基础,重点优化一系列技术创新平台的建设,促进生态系统研究和基础设施的建设,并在生态环境领域建立健全的国家战略和科学力量."
"五是高水平科技人才引领提升行动，重点加强生态环境科技人才队伍建设
","Five is high-level tech talent to lead the upliftment action, focusing on strengthening the ecosystem and tech talent pool.","五是高层技术人才领导升级行动,重点是加强生态系统和技术人才群."
"（记者 寇江泽）
",(Reporter Zhang Zi),报道者张齐
"　　李家超对傅华的到访表示欢迎
",Li family welcomed the visit of Zhou Hua.,李家人欢迎周华的访问.
"他感谢新华社多年来积极报道香港新闻，把最新和最准确的信息快速和专业地传递到世界各地
","He thanked Xinhua for years of active coverage of Hong Kong news, bringing the latest and most accurate information quickly and professionally around the world.","他感谢新华社多年来积极报道香港新闻,迅速和专业地向全世界提供最新和最准确的信息."
"香港特区政府未来会继续与新华社携手向全球讲好香港故事
",The Hong Kong Special Administrative Region will continue to work with Xinhua to tell the world the story of Hong Kong in the future.,"香港特区将继续与新华社合作,向世界讲述香港的故事."
"　　推动巡视发现问题真改实改
",The first is to promote the real change in the discoveries of the tour.,首先是促进旅游的发现的真正变化.
"进一步压实整改主体责任，加强对巡视整改情况监督，有重点地选择部分单位开展现场督导检查，对中管企业整改情况开展“回头看”
","Further tightening the responsibility of the entity to reform, strengthen the supervision of the situation of the inspection, with a focus on selecting some units to carry out on-site supervision inspections, and conduct a review of the situation of the Central Administration enterprises.","进一步加强实体改革责任,加强监督情况的监督,重点是选择一些实地监督检查单位,并对中央行政企业的情况进行审查."
"进一步完善整改督促机制，研究探索巡视建议书制度，对巡视发现的普遍性、倾向性问题和体制机制等方面问题，向有关职能部门提出意见建议并督促落实
","Further improving the reform of the incentive mechanism, researching the exploration of the recommendation system for the tour, and issues related to the universality, inclination and institutional mechanisms of the findings of the tour, and providing advice and encouraging implementation to relevant functional departments.","进一步改善激励机制的改革,研究探讨旅游推体系以及与旅游成果的普遍性,倾向和机构机制相关的问题,并向相关职能部门提供建议和鼓励实施."
"进一步增强整改针对性、实效性，强化边巡边查、立行立改，推动健全整改问责、评估机制，纠治整改不力、虚假整改等问题
","Further enhance the targeting, effectiveness of corrections, strengthen border patrol, stand-by corrections, promote the improvement of accountability corrections, evaluation mechanisms, correct corrections and false corrections.","进一步提高对纠正的目标性,有效性,加强边境巡逻,预备纠正,促进提高问责纠正,评估机制,正确纠正和错误纠正."
"　　提升巡视发现问题的震慑力
",The newly created website will be updated to reflect the newly created website.,新创建的网站将会更新以反映新创建的网站.
"做实政治巡视，紧盯权力和责任、紧盯“一把手”和领导班子、紧盯群众反映强烈的问题，深入查找影响高质量发展的主要矛盾、落实改革部署中的重大偏差、全面从严治党方面的突出问题
","The political tour, the tightening of powers and responsibilities, the tightness of the handcuffs and the leadership, the tightness of the masses reflects the strong problems, the in-depth investigation of the main contradictions affecting high-quality development, the implementation of major biases in the implementation of reforms, the overall highlighting of the problems from the point of view of the ruling party.","政治巡回演出,加强权力和责任,紧紧握手和领导力,紧紧紧握群众反映出强大的问题,深入调查影响高质量的发展的主要矛盾,实施重大偏见在实施改革,从执政党的角度来看,总体强调问题."
"把握巡视节奏，组织开展二十届中央第五轮、第六轮巡视，稳步推进一届任期内巡视全覆盖
","The tour will be organized in a timely manner, with the 20th Central Five and Sixth Rounds of the tour being organized and the tour being steadily expanded to cover the entire period of one term.","巡回演出将及时进行,其中20届中央五轮和六轮将进行,并将逐步扩大巡回演出,以覆盖整个一届."
"优化巡视方式，科学统筹常规巡视、专项巡视、机动巡视和巡视“回头看”，灵活开展提级巡视
","Optimized tours, scientifically coordinated regular tours, special tours, mobile tours and tours to back-to-back tours, and flexible tours to upgrade.","优化巡回演出,科学协调的定期巡回演出,特殊巡回演出,移动巡回演出和背后巡回演出,以及灵活的升级巡回演出."
"强化巡视巡察上下联动，对省区市巡视工作开展专项检查，建立健全中央单位内部巡视与纪检监察监督贯通协调机制，制定加强对村巡察工作的意见
","Strengthen the coordination of the patrols, special inspections of the municipal patrols of the provinces, establishment of a coordinated mechanism for the internal surveillance of the patrols and inspection of the Central Unit, and elaboration of opinions on the strengthening of the village patrols.","加强巡逻协调,省份市政巡逻特别检查,建立协调监督巡逻内部机制和中央单位检查,并制定关于加强村庄巡逻的意见."
"　　巡视的本质是政治监督，必须以“两个维护”为根本指向深化政治巡视，善于从政治上发现问题，查找政治偏差，消除政治隐患，确保政治安全
","The nature of the tour is political surveillance, and it must be maintained with two guidelines that are fundamentally aimed at deepening the political tour, being good at discovering problems from a political perspective, finding political biases, eliminating political dangers and ensuring political security.","旅游的本质是政治监督,必须遵循两个指导方针,这些指导方针基本上旨在深化政治旅游,"
"　　李大宏表示，香港新闻工作者联会爱国爱港的创会初心始终不改，期待未来与新华社紧密合作，为“一国两制”成功实践做更多有益的工作
",Li Da-ho said that the founding spirit of the Hong Kong Press Workers' Union's Patriotic Love Port has remained unchanged and looks forward to working closely with Xinhua in the future to do more useful work for the successful practice of the two-way street.,"李达胡表示,香港新闻工人联盟爱国港的创始精神没有变化,并期待在未来与新华社密切合作,为两路路的成功实践做出更多有用的工作."
"  太平人寿有关负责人介绍，在各项应用中，太平人寿采用数据脱敏、敏感信息过滤及严格的文档权限管理策略，确保每一条数据在传输、存储与处理过程中的安全性
","The relevant person at Taipei Life explained that Taipei Life uses data desensitization, sensitive information filtering and strict document rights management strategies in its applications to ensure the security of each data in the process of transmission, storage and processing.","泰生命的相关人员解释说,泰生命在其应用中使用数据消毒,敏感信息过和严格的文件权管理策略,以确保传输,存储和处理过程中的每个数据的安全."
"另外，太平人寿的大模型都是本地化内网部署，防止内部数据泄漏的同时提供了大模型问答能力
","In addition, the large model of Taipei Life is localized in-network deployment, which prevents internal data breaches while providing large model query and answer capabilities.","此外,台北生命的大型模型是本地网络部署,防止内部数据泄露,同时提供大型模型查询和答复功能."
"  对此，多家机构在接受采访时表示，已通过本地化部署保护数据安全
","In response, several agencies said in interviews that they have deployed data security protections through localization.","为了回应,几个机构在采访中表示,他们通过本地化部署了数据安全保护."
"新网银行副行长李秀生表示，目前，新网银行已经建立一整套管理流程，在引入大模型时开展安全评估，训练大模型时采取数据脱敏的方式，以做好数据安全防护
","Li Hsu-shan, vice president of NINET Bank, said that NINET Bank has established a complete management process to conduct security assessments when introducing large models and to train large models to take data-sensitivity measures to protect data security.","尼尼特银行副总裁李思山表示,尼尼特银行已建立了一个完整的管理过程,以便在引入大型模型时进行安全评估,并培训大型模型采取数据敏感性措施来保护数据安全."
"同时，采取本地化部署，未来积极探索数据安全要求不降低的情况下的云服务
","At the same time, we are taking a local deployment and actively exploring cloud services in the future without reducing data security requirements.","同时,我们正在进行本地部署,并在未来积极探索云服务,"
"  新华社记者张爱林摄  新学期伊始，广西三江侗族自治县充分利用地方文化资源，常态化、沉浸式开展非遗进校园活动，丰富少儿的课余文化生活，弘扬中华优秀传统文化
","Zhang Iling, a Chinese journalist, said that at the beginning of the new term, Guangxi's Jiangxi Autonomous Region will make full use of local cultural resources, normalize and immerse itself in non-degenerate campus activities, enrich the extracurricular cultural life of children, and promote Chinese traditional culture.","张伊灵 (Zhang Iling) 是一名中国记者,表示,新任期开始时,广西江西自治区将充分利用当地文化资源,正常化和沉浸在非退化校园活动中,丰富儿童课外文化生活,促进中国传统文化."
"  林剑表示，中俄作为两个大国，彼此关系具有强大内生动力，不受任何第三方影响
","Lin said that China-Russia, as two great powers, have strong intrinsic forces in their relations and are not affected by any third party.","林表示,作为两大国,"
"中俄两国的发展战略和外交政策是管长远的
",The development strategy and foreign policy of China and Russia is long-term.,俄罗斯和中国的发展战略和外交政策是长期的.
"任凭国际风云变幻，中俄关系都将从容前行
",China-Russia relations will move forward with the changing international winds.,"随着国际气候变化,中俄关系将继续发展."
"美方对中俄关系挑拨离间，完全是徒劳的
",The US has been in vain in its efforts to cut ties with China and Russia.,"美国试图与中国和俄罗斯切断关系,"
"　　傅华指出，新华社作为国家通讯社，与香港有着深厚的历史渊源和合作基础，见证并参与了香港在不同历史阶段的发展
","Liuhua noted that as the national news agency, Xinhua has a deep historical background and cooperation with Hong Kong, witnessing and participating in the development of Hong Kong at different historical stages.","李华指出,作为国家新闻机构,新华社与香港有深厚的历史背景和合作,"
"新一届特区政府成立以来，团结带领社会各界奋发有为、务实进取，巩固了香港稳定发展的良好态势
","Since the formation of the new special government, solidarity has led all sectors of society to strive for practical action and consolidated Hong Kong's good position for stable development.","自新特别政府成立以来,团结使社会各部门都致力于采取实际行动,并巩固了香港稳定的发展良好地位."
