zho,eng
"
",The first is
"  俄罗斯政治学者叶夫根尼·明琴科认为，伊斯坦布尔会谈主要是为了解决两国大使馆和领事工作中长期累积的技术问题，恢复外交机构正常运转需要时间，其中关键是恢复签证制度、解决房产问题和恢复使领馆数量
","According to Russian political scholar Yevgeny Minchenko, the talks in Istanbul are mainly about solving the long-term technical problems accumulated between the two countries' embassies and consulates, and restoring the diplomatic institutions to normal functioning, which is key to the resumption of the visa system, the resolution of property problems and the resumption of the number of consulates."
"俄政治学者谢尔盖·马尔科夫说，此次会谈不涉及乌克兰问题的具体解决方案，而是针对性解决领事工作问题，这项工作技术性强且较为复杂，双方尚需时间做出最后决定
","Russian political scientist Sergei Markov said that the talks did not involve a specific solution to the Ukrainian issue, but a targeted solution to the consular work, which is technically strong and more complex and requires time for both sides to make a final decision."
"
",The first is
"  “很多居民家里装上了电暖气，部分宽阔胡同也在论证厨卫入院，老胡同正在迎来新生活
","Many residents have installed electric heating in their homes, and some broad-minded people are arguing that the chef is admitted to the hospital, and the old people are starting a new life."
"”熊文说
","The first is the ""Bird of the Moon""."
"
",The first is
"  当前，加快发展新质生产力对各要素供给水平提出了更高要求，增量必须向“优”迈进
","Currently, the acceleration of new-quality productivity demands higher levels of supply for all elements, and the increase must move towards hydrogen."
"
",The first is
"  鸽友们说，如今北京城里还有六七万只鸽子，平时不“响”，是怕扰民
","According to the Chinese media, there are currently 670,000 chickens in Beijing, which are not usually silent, and are afraid of disturbing people."
"国家庆典时天安门放飞的，就是鸽友们的鸽子
","The national celebration is celebrated by the people of Tian'an, who are the friends of our country."
"
",The first is
"　　辛辣食物益处这么多，是不是吃得越多越好？　　过度吃辣暗藏风险大　　需要指出的是，针对辛辣成分进行的实验研究结论，不能和辛辣食物的日常食用效果画等号
","The benefits of starchy foods are so great, is it better to eat more? Excessive eating of starchy foods is a risk that is hidden. It should be noted that the results of experimental studies on starchy ingredients cannot be compared with the daily consumption of starchy foods."
"“因为抛开剂量谈效果并不科学，统计学相关也不等于确凿的因果关系
","The effect of discarding doses is not scientific, statistical and not the same as establishing a causal relationship."
"”王蕤强调，“我们只能站在药食同源的角度说，辛辣食物中的微量成分具有一定保健作用，但日常食用量并不能达到显著的治疗效果
","Wang emphasized that while we can only stand from the same source of medication, the micro-components in raw food have a certain health function, but daily intake does not achieve significant therapeutic effects."
"”
",What is it?
"　　此次回暖是“坏回暖”的说法科学吗？陈博宇介绍，所谓“坏回暖”实为公众对温度波动、剧烈温差的体感不适，以及植物等面临“先开花后受冻”等风险的担忧
","Chen Boyu said that the so-called ""bad"" warming is a real concern about the public's feelings about temperature fluctuations, extreme temperature differences, and the risk of plants being affected by the risk of frost after the first blooms."
"从近期温度变化看，这次回暖属于季节本身特点；从升温影响看，负面影响较小，不能称为“坏回暖”
","From the recent temperature changes, this warming is characteristic of the season itself; from the warming effects, the negative impact is less and cannot be called a bad warming bubble."
"
",The first is
"  相关企业给外卖小哥上社保，是企业主动履行社会责任的担当作为，有助于增强员工的获得感、归属感
",The company is responsible for the social responsibility of the company to promote the sense of belonging and access of employees.
"
",The first is
"  阿勒泰地区文体广旅局党组副书记、局长德丽达·那比表示，举办该项赛事旨在吸引更多国内外滑雪游客来阿勒泰观光旅游，吸引国家和其他省区市雪上运动队来阿勒泰驻训，推动冰雪运动、冰雪旅游、冰雪文化、冰雪装备等全产业链发展
","Deputy Secretary of the Altai Regional Literary and Tourism Party Group, Director, Delilah Nabi said that the event is aimed at attracting more domestic and foreign ski tourists to Altai tourism, attracting national and provincial ski teams to Altai, and promoting the development of entire industrial chains such as ice-snow sport, ice-snow tourism, ice-snow culture, ice-snow equipment."
"
",The first is
"  让科技创新与产业需求双向奔赴，才能为加快发展新质生产力增添更多动力活力
",The new technology will be developed in a way that will increase the dynamism of the new generation of productivity.
"
",The first is
"  “生态城积极布局智能网联汽车赛道，通过场景应用，促进智能网联车辆的测试与应用落地，协同推进感知、执行、通信、决策等智能网联系统开发
","The city is actively setting up smart grid connected car racetracks, using scenarios to facilitate testing and application landing of smart grid connected vehicles, and to promote the development of smart grid connected systems such as perception, execution, communication, decision making."
"”樊子渊说，目前已有定制化车联网解决方案领域的开创者四维图新、高德对公网约车总部等多家企业在生态城落子布局，涵盖智能感知、探测、芯片等多个领域
","He said that there are already pioneers in the field of customized car networking solutions, including 4D, Goode, and the public transportation hubs, which are located in the ecological city, covering many areas such as intelligent perception, detection, chips, and more."
"
",The first is
"  两家公司的消息一出来，立即引发众多网友“转评赞”
",The news of the two companies immediately sparked a large number of netizens to turn to praise and criticism.
"这样的热烈反应，具有深厚的现实基础
",The response was so enthusiastic and deeply based on reality.
"
",The first is
"　　本次赛事，中国队遗憾止步八强，但作为东道主，赛事的举办得到了亚足联和参赛队伍的高度认可，亚足联对中国队的表现如何评价？中国是否有望承办更多更高级别的足球赛事？亚足联秘书长温莎·约翰在赛事期间接受了新华社记者的专访
","The Chinese team regretfully finished eighth, but as the host, the event was highly appreciated by the AFC and the participating teams, how did AFC evaluate the performance of the Chinese team?"
"
",The first is
"  一些消费者发现被坑后申请退费，却十分困难
",Some consumers find it difficult to apply for refunds after being hit by a crater.
"在社交平台上，以“网课退费”为关键词搜索，会出现大量维权的“经验帖”和“求助帖”
","On social platforms, searching for keywords using the term ""refund"" can lead to a large number of authoritarian experiences and requests for help."
"
",The first is
"  “给企业的环保设施装上用电在线监控，就像给环境执法人员装上‘千里眼’，排污设备有没有‘偷懒’，一目了然
","The fact that the environmental protection facilities of the enterprises are equipped with electrical online monitoring, like the tear gas to environmental law enforcement officers, is clear."
"”太原市生态环境部门一位工作人员介绍说，在线监测平台精准锁定污染源头后，要求限期销号清零，一批污染问题得到彻底解决
","A staff member of the Ecological Environment Department in the city of Taipei, Taiwan, said that after the online monitoring platforms had locked the sources of pollution accurately, a number of pollution issues were completely resolved, requiring the deadline to clear the sales number."
"
",The first is
"　　新闻名词 慢闪店　　中国商业联合会专家委员会委员赖阳分析，如今，线下实体店承担着品牌与消费者互动、建立情感联结的功能，“当新品牌进入市场时，不再像以往一次性铺设大量店铺，慢闪店成为很好的呈现形式
","Ryang, a member of the Chinese Business Federation's Committee of Experts, analyzed that today, offline physical stores take on the function of interacting with brands and consumers, establishing emotional connections, and that when new brands enter the market, they no longer have as many stores as they once did, slow flash stores become a good presentation form."
"”
",What is it?
"　　在口腔正畸矫治方面，立项指南将正畸矫治分阶段、分难易程度设置价格项目，让医院收费更清楚，让患者付费更明白
","In the case of oral rehab, the guidelines will break down the stages of rehab, the difficulty of setting pricing plans, make hospital charges clearer and patients pay more clearly."
"此外，在各地对接落实口腔类立项指南过程中，国家医保局鼓励有关省份加大集采产品使用力度，倡导相关企业结合正畸产品集采的价格，进一步压缩流通环节加价，适当降低正畸治疗的经济门槛，进一步提高正畸矫治的可及性
","In addition, in the course of the guidance on the implementation of oral-type statements across the country, the National Health and Safety Administration encouraged the relevant provinces to increase the use of collective collective products, advocate for the prices of collective collective collective products of the PRC, further compress the prices of the distribution link, appropriately reduce the economic barriers to the treatment of the PRC, and further improve the availability of the PRC."
"
",The first is
"  深化农村改革要抓主线
",The main focus of the reforms in rural areas is to deepen the rural reforms.
"
",The first is
"  五是必须统筹好提升质量和做大总量的关系，夯实中国式现代化的物质基础
","Five is that we must unify and improve the quality and make a big total relationship, building the material foundation of Chinese modernity."
"我国拥有巨大的经济体量、市场容量和产业配套能力，是提升质量、做优做强的有利条件
","With a huge economy, market capacity and industrial support capacity, China is a good place to improve quality, to be strong and to be good."
"我国人均国民收入尚未达到世界平均水平，发展不平衡不充分问题仍然突出
",The country's per capita income has not yet reached the world average and the problem of development imbalances remains prominent.
"要坚持以质取胜和发挥规模效应相统一，用好超大规模市场优势和丰富应用场景，培育更多世界一流企业和领先技术，把质的有效提升和量的合理增长统一于高质量发展的全过程
","To maintain the uniformity of quality and scale effects, to use super-scale market advantages and rich application scenarios to develop more world-class enterprises and leading technologies, to unify effective quality improvement and rational growth in quantity with the entire process of high-quality development."
"
",The first is
"　　为何品牌纷纷开始青睐慢闪店？记者采访发现，这些品牌有的是进军新区域，有的是从线上转线下，都希望以更灵活的方式、更低的成本开启新尝试
","Reporters interviewed found that some of the brands were entering new areas, some were moving offline, and all wanted to start new trials in a more flexible way and at lower costs."
"
",The first is
"  “科普是全社会的共同责任，需要各方共同参与、加强协同联动，最大程度发挥科普资源的社会效益
","The joint responsibility of the entire society is to engage and strengthen cooperation and connectivity, and to maximize the social benefits of the resources of the company."
"新修订的科普法既涉及职称评定、绩效考核等制度，又有科普产业发展、经费保障等方面的内容，要及时完善配套政策制度，确保法律落地见效
","The newly revised COP Law, which includes both a system of job evaluation, performance review and other aspects of COP industry development and financial security, should timely improve the policy support system to ensure the legal framework is effective."
"”全国人大常委会法工委副主任张勇说
","Zhang Yong, deputy director of the Law and Industry Committee of the National People's Congress, said:"
"
",The first is
"  降低社会用能成本
",Reducing social energy costs
"虚拟电厂的建设，将深刻改变居民用电模式
",The construction of virtual power plants will profoundly change the way residents use electricity.
"传统用电模式下，居民对电力生产和供应缺乏参与感，如今虚拟电厂让居民有了更多选择
","In the traditional electricity use model, where residents lack a sense of participation in electricity production and supply, virtual power plants now give residents more choice."
"居民可通过智能电表和设备，实时监控能源使用状况，根据电力市场价格信号和电网调度指令，灵活调整用电行为，形成“用户得实惠、电网保安全、社会促低碳”的良性循环
","Residents can monitor energy use in real time through smart meters and devices, according to electricity market price signals and grid scheduling instructions, flexibly adjust electricity usage behavior, create a healthy cycle of low-carbon electricity, ensure the safety of the grid, and promote low-carbon electricity."
"
",The first is
"  今年以来，多地相继出台住房公积金优化调整的措施，公积金使用范围扩大、限制减少，一些城市还不同程度提高了贷款额度
","Since then, many countries have introduced measures to optimize the adjustment of housing reserves, expanding the scope of use of reserves and reducing restrictions, and some cities have increased loan quotas to varying degrees."
"
",The first is
"  鸽子也“飞”进了胡同的生命里
",The monkeys also flew into the wild life.
"据说养鸽子最早是八旗子弟消遣的方式，后来传入民间，成了胡同生活的一部分
","It is said that the monkey was first a way of entertainment for the eight-flag brothers, and later spread to the civilian population, becoming part of the homeless life."
"京剧名家梅兰芳曾养鸽子练眼，宋庆龄晚年也在什刹海的住处养鸽子
",The famous actress Melanfang has had a puppy practice in her late teens and also a puppy in her home in Shangai.
"更多的鸽友伺候鸽子，就是为了拉一把躺椅坐在院子中央，看它们在空中自由翱翔……
","More friends serve the chicks, and they pull a couch and sit in the middle of the yard and watch them fly freely in the air..."
"  在去年的全国两会上，王彩云提出了“加强产业链关键技术攻关，做优乳品精深加工项目，提高益生菌菌株研究与应用水平，更好满足国民营养健康需求”的建议，得到广泛关注
","At two national conferences last year, Wang Yun proposed the recommendations of Liu to strengthen the key technological approaches of the industrial chain, to do refined processing of dairy products, to improve the level of research and application of probiotic strains, to better meet the needs of the national nutritional health needs of Liu, which received wide attention."
"
",The first is
"  在加强产业链关键技术攻关和成果转化方面，王彩云认为，必须加快在乳品精深加工、自主菌株研究和应用等方面的技术突破，提高自主创新能力，确保产业链稳定与安全
","In strengthening the critical technological approaches and transformation of the outcomes of the industrial chain, Wang believes that technological breakthroughs in the field of dairy processing, autonomous strain research and application must be accelerated, autonomous innovation capacity increased, and industrial chain stability and safety ensured."
"
",The first is
"  由国家航天局组织的联合研究团队通过研究嫦娥六号月背样品中的玄武岩，验证了全月尺度月球岩浆洋假说，并提出形成月背南极-艾特肯盆地的巨大撞击可能改造了该区域的早期月幔，为探索月球起源和演化提供了关键科学依据
","A joint research team led by the National Space Agency investigated basement rocks in a lunar back sample of the Moon, confirmed the full-moon-scale lunar rock eclipse hypothesis, and proposed that a massive impact of the Antarctic-Attic Basin that formed the Moon's back might have transformed the early lunar mantle of the region, providing critical scientific evidence for exploring the origin and evolution of the Moon."
"
",The first is
"  “展望当前和今后一个时期，我国发展面临的内外环境仍然复杂严峻，外部环境变化带来的不利影响加深，国内经济运行面临有效需求不足等问题挑战，这是我国推进高质量发展、产业向中高端迈进过程中的阵痛，是发展中、前进中的问题
","The current and future development environment in China is still complex and severe, the negative effects of external environmental changes are deepening, domestic economic operations face challenges such as insufficient demand for effective operations, which is a pain in China's progress towards high-quality development, industrial progress towards the middle and high end, and are developing and moving forward."
"”盛来运说，总的看，我国发展面临的机遇与挑战并存，但有利条件多于不利因素，发展基础稳、优势多、韧性强、潜能大，长期向好的支撑条件和基本趋势没有变，高质量发展的大势没有变，发展的“时”与“势”依然占优
","In general, opportunities and challenges for development exist, but the favorable conditions outweigh the disadvantages, the development base is stable, the advantages are many, the resilience is strong, the potential is great, the long-term support conditions and the basic trends towards good have not changed, the high-quality development has not changed, the trend of growth and growth are still positive."
"
",The first is
"  上市公司财务造假严重损害投资者利益
",The financial counterfeiting of publicly traded companies has seriously damaged investors' interests.
"我会将从严从快查处各类造假行为，强化行政、民事、刑事立体追责
","I will be strictly and swiftly investigating all forms of counterfeiting and will strengthen administrative, civil and criminal accountability."
"对于触及重大违法强制退市情形的上市公司，将严格执行退市制度，坚决出清此类“害群之马”，让造假者付出惨痛代价
","The listing companies that have touched on a major illegal forced demarcation situation will be strictly enforced, and will be determined to clear the horns of such harmful groups, and will pay a terrible price to counterfeiters."
"
",The first is
"  知乎创始人兼首席执行官周源建议，研究出台针对科普企业的税收优惠办法，将科普纳入企业社会责任的评估和高新技术企业评定体系，让长期坚守在这个阵地上的企业获得应有回报
","Known as Founder and CEO Zhou Soong, he suggested that the company should consider introducing tax incentives for corporate corporations, incorporating corporate social responsibility assessment and high-tech corporate rating systems to ensure that companies that remain in this position receive their due returns in the long term."
"
",The first is
"  这是农村改革不可逾越的底线
",This is the bottom line of rural reforms.
"
",The first is
"  与此同时，新职业人群的权益保护短板也日渐显现
","At the same time, the shortcuts to protect the rights of newly-formed professionals are also becoming increasingly visible."
"比如，送货途中受伤，谁来出钱医治？被雇主解约后，谁来为他们的失业兜底？加强对新职业人群的权益保护，是一线从业者的热切盼望，也是一道急需破解的现实难题
","For example, when people are injured on the way to delivery, who comes to pay for medical treatment? who comes to the bottom of their unemployment after being dismissed by their employers? strengthening the protection of the rights of new professionals, is a passionate aspiration of the practitioners and a real problem that needs to be solved urgently."
"
",The first is
"  消费潜力的释放，带动新的优质投资，将助力畅通国民经济循环，为盘活存量和做优增量开辟空间
","The release of consumer potential will drive new high-quality investments, help to streamline the national economic cycle, and open up space for live stock and optimised growth."
"
",The first is
"  胡同不再拆了，四合院留住了，“老巷幽宅静树依”的胡同风貌慢慢复苏，乡愁触手可及
","The house was torn down and the four houses remained, and the old house was restored to its original appearance."
"
",The first is
"  四川的春天，不止绿了山水，也催着人们加快脚步，去迎接新一年的风雨和希望
","In Sichuan, spring is not only green, but also encourages people to step up and welcome the new year's wind and hope."
"（卢宥伊 张雅雯 吴晓颖）
","(Ryu Yi, Zhang Yao, Xiaojie)"
"  “祝融号”着陆点倾斜沉积结构形成过程示意图
",The following is a diagram of the formation process of the sloping sedimentation structure at the Melting Point.
"（中国科学院空天信息创新研究院供图）
",The Chinese Academy of Sciences (CIS) is a non-profit organization that provides information and communication technology to the Chinese government.
"  盘活存量已成为推动经济增长的重要抓手
",The stockpile has become a major catcher for economic growth.
"今年以来，各地各部门多措并举唤醒“沉睡”资产，激活高质量发展一池“春水”
","Since this year, various sectors have been taking steps to awaken the slumbering slumber assets and activate the development of a high-quality pool of slumber slums."
"
",The first is
"  任命吴言军为司法部副部长；任命刘建国为国家广播电视总局副局长；任命张勇为国家疾病预防控制局副局长
",Appointment of Yuen-Jin as Deputy Minister of Justice; Appointment of Liu Jing-dong as Deputy Director of the National Broadcasting and Television Directorate; Appointment of Zhang Yong as Deputy Director of the National Agency for Disease Prevention and Control.
"
",The first is
"  党的二十届三中全会对“完善城乡融合发展体制机制”作出系统部署
",The 20th Plenary Session of the Party of Indian Independence (PTI) will be held in the city of Bangalore to discuss the implementation of the systematic mechanism for urban and rural integration and development.
"
",The first is
"  同时也应看到，相对于传统就业市场，当下还在蓬勃发展的新就业市场形态更加复杂，给外卖小哥缴纳社保这件“小事”要办成“好事”，需要克服跨区域、跨平台等诸多难题
","It should also be seen that the new jobs market, which is still thriving today, is more complex than the traditional job market, and that this small business that pays for social security to foreigners is a big deal, and that it is necessary to overcome many challenges across regions, across platforms and beyond."
"
",The first is
"来吸引更多的优秀青年人人享有技能的社会环境，国家重视技能、社会崇尚技能“希望大力营造好黄春燕收集到了许多工友的意见和建议经过长期的基层走访和调研黄春燕坦言履职很有成就感带到全国两会上
","To attract more talented young people to the social environment, the national importance of skills, the social noble skills and the desire to create good, Huang Chunhyang gathered the opinions and suggestions of many of his colleagues after long grassroots visits and research that Huang Chunhyang's confession of accomplishment has brought to two national conferences."
"”
",What is it?
"  丁一舟（右）与赖敏在旅行途中
","The first is the story of the life of a young boy named Ramin, who is on a journey with Ding Jin (right) to the island of Ramin."
"（受访对象提供）
",(Interviewees provided)
"  阿勒泰市还有野卡峡和乌希里克两处位于山区的野雪公园，供渴望挑战的滑雪爱好者体验在天然雪山中滑雪
","The city of Alete also has a wild snow park in the mountains of both the Yukon and Ushilik, where ski enthusiasts who want to challenge can experience skiing in the natural snow mountains."
"阿勒泰市提供专项服务，由直升机将雪友送上山顶，并配有专业导滑和应急救援人员
","The city of Aleppo provides special services, which take snowmen to the summit by helicopter, and is equipped with professional guide and emergency rescue personnel."
"
",The first is
"  “当前，我国经济发展正处于新旧动能转换破局成势的关键阶段，各方面锚定高质量发展首要任务不动摇，统筹好培育新动能和更新旧动能的关系，因地制宜发展新质生产力，推动新旧动能平稳接续转换
","Currently, the economic development of China is at a critical stage of the transformation of new and old dynamics, in which the priority of high-quality development is to be firmly established, to coordinate the relationship between fostering new and renewing old dynamics, to develop new and efficient productivity, and to promote the smooth and continuous transformation of new and old dynamics."
"”盛来运说
","The first is the ""Sweetness""."
"
",The first is
"  他把手指粗的铅笔磨出刻刀一样的宽面，直笔、横笔、偏锋、点彩，凹凸有序、层次分明地绘制出坑洼的墙壁、蓬松的雪花、婆娑的树影和极富年代感的行人，开创了用扁平宽的铅笔线条勾勒胡同风貌的独特画法
","He worked his fingers with rough pencils to create a wide, straight, pencil-like, flat-edged, pointed, pointed, concave, level-wise, detailed picture of the crater walls, loose snowflakes, tree shadows of the grandmother's house, and the age-rich walks of the people, and pioneered a unique style of painting that uses flat, wide pencil lines to sketch the confused look."
"
",The first is
"  “火星与地球同处于太阳系‘宜居带’，且具有与地球相似的地质特征、季节性变化和昼夜节律
","Mars is inhabited by the Sun, and has similar geological features, seasonal changes and day-night rhythms to Earth."
"”论文通讯作者、中国科学院空天信息创新研究院研究员方广有介绍，过去几十年来，人类火星探测取得一系列重大发现，但大多集中在火星高纬度区域或极地区域
","The authors of the paper, who are also researchers at the Institute of Space Information Innovation of the Chinese Academy of Sciences, have reported that in the past decades, human exploration of Mars has made a series of major discoveries, but mostly concentrated in high-density or polar regions of Mars."
"“祝融号”着陆区位于火星北半球乌托邦平原南部，为探索火星中低纬度区域更多奥秘提供了有力支撑
","The Melting Moon landing site, located in the southern Utopia Plains of the Northern Hemisphere, provides a powerful backdrop for exploring more mysteries of the low-pressure region of Mars."
"
",The first is
"  为有效防控绿色金融风险，《实施方案》要求，一是完善风险管理机制，健全环境、社会和治理风险管理体系，对客户风险进行分类管理与动态评估
","To effectively address green financial risks, the implementation of the Green Financial Risk Plan requires improving risk management mechanisms, strengthening environmental, social and governance risk management systems, and conducting classification management and dynamic assessment of client risks."
"二是强化全流程风险管理，有效识别、监测、控制业务活动中的环境、社会和治理风险，实现风险的全流程管理
","The second is to strengthen the overall process risk management, effectively identify, monitor and control environmental, social and governance risks in business activities, and to implement the overall process management of risks."
"三是有效应对气候风险，探索环境和气候相关风险管理方法、技术和工具，在积累数据的基础上，分步分行业开展情景分析、压力测试
","Third, to address climate risks effectively, explore environmental and climate-related risk management methods, technologies and tools, and to conduct industry-specific scenario analysis and stress testing based on data accumulated."
"四是维护良好市场秩序，聚焦客户分布集中的绿色行业产业开展常态化跟踪研究，优化行业投融资政策
","Fourth, to maintain good market order, to focus on customer-centric green industry, to conduct trend-tracking research and to optimize industry investment financing policies."
"
",The first is
"  改造提升传统产业——这是稳住基本盘、建设现代化产业体系的支撑
",The transformation of traditional industrial plants is the backbone of building a modern industrial system.
"
",The first is
"　　大栅栏步行街
",The Great Monkey Walks the Street
"（新华每日电讯记者丁静摄）
",The Chinese government has also been trying to get the Chinese government to shut down its operations.
"　　在本次人文对话交流会上，新华社国家高端智库发布了《以文明交流互鉴推动人类文明发展进步》智库报告
","At the Human Dialogue Exchange, the National High-End Think tank of Xinhua Agency released the Human Dialogue and Civilization Exchange Report on the Progress of Human Civilization."
"
",The first is
"  从挑战难度的佛光大道、欣赏美景的夕阳大道，到设施齐全、地形多样的单板公园，再到这个雪季新增的天然滑雪区……滑雪爱好者心中“国内最好玩的滑雪场”正逐步形成，魅力日增
","From challenging Buddhist avenues, sunny avenues to admire the beauty of the landscape, to a multi-faceted park with a variety of facilities, and to new natural ski areas in the winter season... The most fun ski resorts in the country are gradually being built and growing in appeal to skiers."
"
",The first is
"  在蔡学飞看来，适当控货以减少供给，可以维持产品价格体系，也是名酒积极适应调整周期、给渠道商减压、增强产品盈利能力、保证市场持续良性增长的必要措施
","In the eyes of the Chinese, the proper control of cargo can reduce supply, maintain the price system of products, and the wine is actively adapted to the adjustment of the cycle, reduce the pressure on the channel operators, increase the profitability of products, and ensure the continuous good growth of the market."
"
",The first is
"  会议还研究了其他事项
",The meeting also discussed other issues.
"
",The first is
"  “如果这一区域曾存在海洋，那么，现在可能有大量水分以地下冰的形式被封存，为未来火星基地的水资源利用提供了可能
","If the area had been oceanic, there could now be a large amount of water contained in the form of ground ice, which could be used for future Mars bases."
"”方广有说
",The Chinese government has been widely quoted as saying:
"（记者张泉）
",(Reporter Zhang Quo)
"  胡同是北京最具特色的城市肌理
",The city of Huế is the most distinctive city of Beijing.
"恭亲王的府邸、梅兰芳的宅子、李大钊的小院……数百年来，北京的胡同里沉淀着经世济民之志、博古通今之学，也藏着千秋百代、千家万户和千姿百态
","The palace of the Emperor, the mansion of Melanfang, the courtyard of Li Daan... For centuries, Beijing's ruins have been steeped in the teachings of the people of China, the teachings of the Buddha, and the hiding place of the Ming dynasty, the thousands of families and the thousands of styles."
"
",The first is
"　　约翰介绍，亚足联在管理上已经开始使用人工智能的工具，而赛事转播也已经开始深度应用人工智能
","John explained that FIFA has started using AI tools in management, and the broadcast of the tournament has also started to use AI in depth."
"
",The first is
"　　“当然不是
","Oh, of course not."
"上火是辛辣饮食最容易给身体带来的小问题，常见症状包括牙龈肿痛、口腔溃疡、眼睛红肿、睫毛发炎、便秘、痔疮等
","Burning is one of the most common problems in the body, and the most common symptoms include toothache, mouth ulcers, redness of the eyes, hair inflammation, constipation, and diarrhea."
"”赵鲁卿解释，根据中医理论，这是因为辛味食物的温热性质会消耗人体内的水分和津液，导致人体阴液不足，无法制约阳气，阳热过盛，从而产生“上火”的热象
","According to the Chinese medical theory, this is because the warm-heat nature of spicy food consumes water and zinc in the body, causing a lack of urine, and the inability to contain the sun's gas, the excess heat, and thus the production of hot sparkling elephants on the sparkling leaves."
"
",The first is
"  ——加快消除资源要素高效流转的制度壁垒
",The Commission is also working to accelerate the elimination of institutional barriers to the efficient flow of resources.
"
",The first is
"  借助居民虚拟电厂，让千家万户的发用电设备和储能设备“手拉手”，居民不再只是电力消费者，更成为电力市场参与者
","With virtual power plants for residents, and thousands of households with power generation and energy storage devices, residents are no longer just electricity consumers, but also players in the electricity market."
"每个家庭都可以通过这一平台，主动加入弹性用电，为实现“双碳”目标贡献力量
",Every household can actively join the resilient power sector through this platform to contribute to the achievement of the carbon-carbon double target.
"
",The first is
"除了新能源技术的研发，东风汽车还加速智能化发展，积极拥抱未来出行的新趋势
","In addition to the development of new energy technologies, East Wind also accelerates its development in intelligence and actively embraces new trends in the future."
"公司发布了智能品牌，致力于为用户提供更加智能、便捷的出行体验
","The company has launched a smart brand dedicated to providing users with a smarter, more convenient travel experience."
"在智能座舱方面，东风汽车通过引入人工智能、大数据等技术，实现了座舱的个性化定制和智能化服务
","In terms of smart seats, East Wind has achieved personalized customization and intelligent services for the seats by introducing technologies such as AI, big data and more."
"用户可以根据自己的喜好和需求，调整座舱的布局和功能，享受更加舒适的驾驶体验
",The user can adjust the layout and function of the cab according to their preferences and needs and enjoy a more comfortable driving experience.
"在自动驾驶方面，东风汽车积极研发自动驾驶技术，推动自动驾驶汽车的商业化应用
","In the area of autonomous driving, East Wind Motor has been actively developing autonomous driving technologies to promote the commercialisation of autonomous vehicles."
"通过与高校、科研机构的合作，东风汽车不断突破技术瓶颈，提高自动驾驶汽车的安全性和可靠性
","Through collaboration with universities and research institutions, East Wind Cars continues to break the technological bottleneck and improve the safety and reliability of self-driving cars."
"
",The first is
"  中文在线精品短剧部总经理余帅同样认为，“分类分层审核”等制度将有助于优化行业生态，推动行业从“野蛮生长”转向“精品竞合”
","Yu Yu, general manager of the Chinese online fine short drama department, also believes that systems such as the classification of the lime sub-layer review will help optimize the industry's ecosystem and drive the industry from a barbaric growth boom to a competitive boom in the lime industry."
"
",The first is
"  广西医科大学第一附属医院医生们为患者小覃送上鲜花
",Doctors at the first affiliated hospital of Guangxi Medical University sent flowers to the patients' little sisters.
"（广西医科大学第一附属医院提供）
",(provided by First Affiliated Hospital of Guangxi Medical University)
"科技创新是东风汽车发展的灵魂
",Technology innovation is the soul of the development of East Wind cars.
"在新能源汽车领域，东风汽车坚持超级混动、纯电、氢能并进的技术路线，形成了完整的新能源全产业链技术资源布局
","In the new energy vehicle sector, East Wind follows a technological path of super-mixing, pure electricity, hydrogen fusion, and has formed a complete new energy technology resource layout across the entire industrial chain."
"公司不断加大研发投入，软硬件能力建设实现跨越式发展
",The company is continuing to increase its R&D and software hardware capabilities to achieve cross-cutting development.
"在新能源动力系统方面，东风汽车自主研发了多项关键技术，包括电池、电机、电控等核心部件，形成了具有自主知识产权的新能源动力系统平台
","In the new energy power system, East Wind Automotive has independently developed several key technologies, including core components such as batteries, motors, electrical controls, and has formed a new energy power system platform with independent intellectual property."
"这一平台的建立，不仅提高了东风汽车在新能源汽车市场的竞争力，也为公司的可持续发展奠定了坚实基础
","The establishment of this platform not only enhances the competitiveness of East Wind in the new energy vehicle market, but also lays a solid foundation for the company's sustainable development."
"
",The first is
"  面对疾病的挑战，每个人都在用自己的方式做着抗争
","In the face of the challenges of disease, everyone is fighting in their own way."
"
",The first is
"  “这为科普事业用好行政机制、社团机制、市场机制三个机制提供了法律依据，能够动员起更广泛的社会力量
","The three mechanisms of good governance, community and market mechanisms provide the legal basis for the corporate cause to mobilize wider social forces."
"”中国国家博物馆原馆长王春法说，要进一步深化理论研究、积累实践经验，明确科普产品等概念的范畴，处理好科普的公益性和科普产品市场性之间的关系
","Wang Chunfa, the former director of the National Museum of China, said that further deepening theoretical research, accumulating practical experience, clarifying the categories of concepts such as KOP products, and addressing the relationship between KOP's public interest and KOP's market value should be done."
"
",The first is
"  新修订的科普法明确，国家发展科普产业，鼓励兴办科普企业
",The newly revised Cop Law clarifies the national development of the Cop industry and encourages the establishment of Cop companies.
"
",The first is
"  “加拉帕戈斯”一词源自西班牙语，意为“龟”
","The word ""garagó"" comes from the Spanish word for ""garagó""."
"数百年前，象龟曾遍布群岛各地
",The elephant was widespread in the islands hundreds of years ago.
"然而，由于过度捕猎与火山活动，多个象龟亚种已然消失，如今幸存的种群也正面临气候变化、物种入侵、栖息地破坏及外来疾病等多重挑战
","However, due to over-hunting and volcanic activity, many species of elephant have disappeared and the surviving populations are facing multiple challenges such as climate change, species invasions, habitat destruction and foreign diseases."
"
",The first is
