zho,eng
"  “一到‘回南天’，总有个别误食变质食物导致胃肠道不适的患者前来就医
","From the south to the south, there are always individual malnutrition of food that causes gastrointestinal discomfort."
"”广西壮族自治区妇幼保健院儿童感染消化内科副主任何筱胤建议，春季应加强饮食、饮水卫生，食物充分加热，避免食用不新鲜或变质的食物，尽量少吃或不吃剩饭剩菜
","The Vice President of the Department of Infectious Diseases and Infectious Diseases of the Ministry of Health of the Guangxi-Shuang Autonomous Region recommended that in the spring, the diet, drinking water hygiene, food should be improved, adequate heating, avoid eating unfresh or deformed foods, and eat as little or no leftover meals as possible."
"若出现呕吐、腹泻等不适症状，应及时就医治疗
","If you have symptoms of vomiting, diarrhea, etc., you should seek medical treatment in a timely manner."
"  ——“回南天”来袭，应提防消化系统疾病
",The South Korean government has been trying to prevent the spread of diseases in the digestive system.
"墙上冒水珠、到处湿漉漉……近日，南方多地在回暖过程中出现了“回南天”
","The walls are covered with water, the whole area is wet... Recently, the southern part of the country has been warming up with a wave of rainbow turning to the south."
"在湿度大、温暖的环境下，细菌和真菌可迅速繁殖，食物易变质腐烂
","In humid and warm environments, bacteria and fungi can reproduce rapidly and food is prone to decomposition."
"  “预防精神疾病，缓解心理不适，可以通过坚持规律作息、适度运动来实现
",The aim of the project is to prevent mental illness and reduce mental disorders by maintaining a healthy lifestyle and moderate exercise.
"”占归来提醒，如果相关症状持续或加重，应尽早寻求专业帮助
","The report also warns that if the symptoms persist or worsen, seek professional help as soon as possible."
"  对此，上海市徐汇区精神卫生中心主任占归来解释称，冬去春来时，气温、日照的变化对人体的生物钟和激素水平产生影响，光照时间变长可能刺激大脑分泌更多血清素，也可能引起褪黑素分泌减少，进而影响情绪调节，“有些人更为敏感，在这样的变化刺激下易有焦虑、抑郁等情绪波动
","In response, the director of the Xu Wei District Mental Health Center in Shanghai explained that in winter and spring, changes in temperature and sunlight affect the body's biological clock and hormone levels, and the increase in light time may stimulate the brain to secrete more serotonin, or may cause a decrease in the secretion of serotonin, which affects mood regulation, and some people are more sensitive, and these changes can trigger mood swings such as anxiety and depression."
"”  ——“春困”“伤春”，勿轻视精神心理健康
",The first is that the people of the country are not allowed to take the risk of being bullied.
"春天里易犯困、提不起精神、容易伤怀、陷入忧思……“春困”“伤春”，都是形容在春季时发生的心理、精神方面的不适
","The first few days of spring are easy to get caught up in, not remembering, easily hurt, easily trapped in worry... Springtime is a time of mental and mental discomfort."
"
",The first is
"  无论智驾处于“凑合能用”还是“好用”的阶段，安全始终是不可逾越的底线
","Whether you're in the phase of combining aluminum or aluminum, safety is always the bottom line."
"专家提醒，当前的智能驾驶距离完全自动化驾驶还有很长的路要走，即使开启了智驾功能，驾驶员的双手也应时刻放在方向盘上，密切关注路况，以便随时接管车辆，切忌掉以轻心，更不能做出诸如在驾驶过程中睡觉、玩手机等危险行为
","Experts warn that there is still a long way to go from fully automated driving to the current smart driving distance, and even with the smart driving function enabled, drivers should keep their hands on the steering wheel at all times, keeping a close eye on the road conditions, so that they can take over the vehicle at any time, avoid distractions and avoid dangerous activities such as sleeping while driving, playing with their mobile phones."
"  中汽测评技术管理部副部长张鲁提醒消费者，学习和了解智能驾驶系统的功能范围及紧急情况应对方法是安全使用智能驾驶系统的“法宝”，特别是要留意在一些复杂路况或是恶劣天气情况下可能存在表现不佳的情况
","Zhang Lu, Vice Minister of the Ministry of Technical Management, Assessment and Technology, reminds consumers that learning and understanding the scope of the functions and emergency response of the intelligent driving system is a good way to safely use the intelligent driving system, especially in situations where there may be poor performance in some complex road conditions or in bad weather."
"此外，用户还需及时更新软件以获取最新功能和安全补丁
","In addition, users will need to update the software in a timely manner to get the latest features and security patches."
"
",The first is
"  威廉姆斯认为，美国利用乌克兰面临的困境获得关键矿产资源，证明美国是“机会主义者”，而美国政府似乎已经成为一个“攫取他国资源的机会主义对冲基金”
","Williams argues that the United States has used the difficult situation in Ukraine to access critical mineral resources to prove that the United States is a hedge fund of opportunists, while the U.S. government appears to have become a hedge fund of opportunists who are exploiting other countries' resources."
"
",The first is
"  这位负责人表示，今年全国两会即将召开，国家林草局将进一步优化办理工作流程，创新工作方法，组织开展综合调研和代表委员座谈，充分吸收采纳意见建议，以更加务实的政策举措，为建设人与自然和谐共生的现代化贡献力量
","The Head of the National Forest Service said that two national conferences will be held this year, and the National Forest Service will further optimize its work processes, innovate its working methods, organize comprehensive research and consultation with representative committees, fully absorb input and recommendations to make more pragmatic policy initiatives to contribute to the modern power of building people and living in harmony with nature."
"
",The first is
"　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
","Comrades, the new era of the new journey is a new beginning from the new party station, opening up new situations, the mission of the judiciary and surveillance work is honored, and the focus is on the country."
"让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
","Let us unite more closely around the party center center, centered on comrade Xi Jinping, to concentrate and strive to advance the high-quality development of the new era of surveillance and surveillance work with a never-ending spirit, to provide strong guarantees for the comprehensive promotion of strong nation building and national revival in China through modernisation."
"　　加强廉洁建设
",Strengthening clean construction
"纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
","The judiciary is a law enforcement agency that must respect discipline, respect the law, be a measure of self-revolution, and respect the law."
"以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
","The regulation is strictly enforced, with strong administrative controls, strict disciplinary requirements, strict compliance with the red line, and the practice of the personnel of the disciplinary supervision is to work in a strict and rigorous atmosphere."
"以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
","With severe punishment for violent shelling, knife-edged inwards, self-harming rotting meat, clearing of the harmful groups, the prosecutor's office will never allow the hiding place of corrupt criminals, never allow illegal crime shelters to protect the hiding place."
"以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
","With a warm heart, genuine concern for initiatives, increase the awards, typical promotion, occupational protection, support for comfort, and other strengths, manage the good sword fund, enhance the sense of professional honor and belonging of the personnel of the judiciary supervision."
"
",The first is
"  普洱市文化和旅游局副局长张栖荧说，普洱不仅有普洱茶，还有香气浓郁、略带果酸味的咖啡，“咖旅融合”已成为普洱旅游的一张新名片
","Zhang Zhang, deputy director of the Pyongyang City Department of Culture and Tourism, said that not only is Pyongyang tea available, but also the aroma of the coffee, which is slightly sour, and the combination of the coffee and the coffee has become a new name for Pyongyang tourism."
"
",The first is
"  中央驻港机构、香港特区政府、驻港中资机构及香港各界代表参加了当天的开通仪式
","Representatives from the Central Bank of Hong Kong, the Hong Kong Special Administrative Region, the Central Bank of Hong Kong and Hong Kong participated in the opening ceremony."
"  同日，“国社之镜·世纪光影”新华社新闻摄影展在香港举行
","On the same day, the Xiaoyuan Media Company's Mirror, Century Shadow and Xiaoyuan Media Company News Photography exhibition was held in Hong Kong."
"这些新华社摄影精品生动展现了新中国成立以来的历史变迁和伟大成就
",These photos from the Xinhua Agency showcase the historical changes and great achievements that have taken place since the founding of the new China.
"开通仪式后，嘉宾们共同参观了摄影展
","After the opening ceremony, guests visited the photography exhibition together."
"
",The first is
"　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
","Comrades, the new era of the new journey is a new beginning from the new party station, opening up new situations, the mission of the judiciary and surveillance work is honored, and the focus is on the country."
"让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
","Let us unite more closely around the party center center, centered on comrade Xi Jinping, to concentrate and strive to advance the high-quality development of the new era of surveillance and surveillance work with a never-ending spirit, to provide strong guarantees for the comprehensive promotion of strong nation building and national revival in China through modernisation."
"　　加强廉洁建设
",Strengthening clean construction
"纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
","The judiciary is a law enforcement agency that must respect discipline, respect the law, be a measure of self-revolution, and respect the law."
"以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
","The regulation is strictly enforced, with strong administrative controls, strict disciplinary requirements, strict compliance with the red line, and the practice of the personnel of the disciplinary supervision is to work in a strict and rigorous atmosphere."
"以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
","With severe punishment for violent shelling, knife-edged inwards, self-harming rotting meat, clearing of the harmful groups, the prosecutor's office will never allow the hiding place of corrupt criminals, never allow illegal crime shelters to protect the hiding place."
"以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
","With a warm heart, genuine concern for initiatives, increase the awards, typical promotion, occupational protection, support for comfort, and other strengths, manage the good sword fund, enhance the sense of professional honor and belonging of the personnel of the judiciary supervision."
"　　加强作风建设
",Strengthening the construction of the windmill
"作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
","The good conduct of the judiciary is an important guarantee of the duty of the judiciary to respect the authority, to respect the people, to ensure that the power given to the party and the people is not abused."
"发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
","To promote the spirit of struggle, to fight for the right to stand up and fight for the right to defend the interests of the party and the people in the face of the prevailing wind and corruption, not to fear evil, not to fear ghosts, not to fear pressure, and not to be afraid of the interests of the people."
"发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
","To promote the spirit of responsibility, to not wait for the moment, to fight only for the morning, to put everything before and do before, to keep the party building and the fight against corruption in a sustainable way."
"弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
","To promote the spirit of the rule of law, strengthen the sense of rule of law, procedural awareness, awareness of evidence, to operate strictly in accordance with statutory authority, rules and procedures, to ensure that every case passes through the hands of the people, the historical examination."
"　　加强能力建设
",Strengthening capacity building
"纪检监察机关是党内监督和国家监察专责机关，在管党治党中承担着重要职责，必须敬畏责任、敬畏使命，高质量完成好党和人民交给的任务
","The Disciplinary Supervisory Body is the body responsible for internal supervision and national supervision, which has important responsibilities in the ruling party, which must respect the responsibility, respect the mission, and perform the tasks entrusted to the good party and the people with high quality."
"着眼提高干部专业素养，开展涵盖业务全链条的纪法培训，加强履职通识培训，分层级分领域精准施训，扎实推进纪检监察学科建设，不断提升发现处置问题、开展思想政治工作、推进以案促改促治、研判处置涉纪涉腐舆情等能力
","The aim is to improve the professional skills of the staff, conduct disciplinary training covering the entire chain of business, strengthen professional skills training, train in precision in the sub-level areas, strengthen the development of disciplinary supervision disciplines, continuously improve the discovery of dismissal issues, conduct thought-political work, promote the promotion of judicial reform, promote research and dismissal of corruption cases, etc."
"着眼提高监督执纪执法质量，教育引导干部牢固树立和践行正确政绩观，坚持实事求是，严格依规依纪依法，正确把握政策策略，准确定性量纪执法，毋枉毋纵，安全文明办案，实现政治效果、纪法效果、社会效果有机统一
","The aim is to improve the quality of enforcement of the law, to educate the cadres to establish and practice the correct political outlook, to insist on the facts, to strictly comply with the law, to properly grasp policy strategies, to ensure the enforcement of precision measures, to manipulate the law, to ensure civilization, to achieve political effect, to achieve the legal effect, to achieve the organic uniformity of social effect."
"实施加强组织建设三年行动计划，着眼优化干部选育管用机制，完善干部准入机制，加强监督执纪执法专业人才储备，完善拓展培养机制，优化干部梯队建设，稳妥有序推进干部轮岗交流，有计划安排干部到正风肃纪反腐一线磨砺，完善考核评价机制，激励干部担当作为
","Implement a three-year action plan to strengthen organizational building, focus on optimizing the cadres selection and governance mechanisms, improving the cadres access mechanism, enhancing the supervision of the talent reserve of law enforcement professionals, improving the development of the training mechanism, optimizing the cadres ladder construction, steadily and orderly promoting cadres rotation exchanges, planning to arrange cadres to the first line of anti-corruption grinding, improving the review evaluation mechanism, and motivating cadres to act as the responsible."
"　　加强政治建设
",Strengthening political construction
"纪检监察队伍因党而生、为党而战，忠诚于党是纪检监察铁军最根本的政治品格，必须敬畏信仰、敬畏组织，做一尘不染的忠诚卫士
","The police surveillance team is born for the party, it fights for the party, loyalty to the party is the most fundamental political characteristic of the police surveillance iron army, it must fear the faith, fear the organization, be a stainless loyal guards."
"要始终不渝用习近平新时代中国特色社会主义思想武装头脑，筑牢思想根基、学习科学方法、汲取真理力量，及时转化为敢为的行动、善为的能力、有为的效果；深刻领悟“两个确立”的决定性意义，坚决做到“两个维护”，及时甄别、坚决清除政治上的两面人，确保整支队伍对党绝对忠诚、政治上绝对可靠，任何时候任何情况下都同以习近平同志为核心的党中央保持高度一致；始终不渝心怀“国之大者”，自觉把工作置于党和国家大局中谋划推进，为实现新时代新征程党的使命任务作出更大贡献
","To always use the Chinese characteristic socialist ideas of Xi Jinping's new era to arm the mind, to build strong ideas, to learn scientific methods, to draw the power of truth, to transform in time into bold action, good-doing ability, positive results; to deeply understand the decisive meaning of the two established principles, to be determined to maintain the two pillars, to be determined to separate in time, to clear the political sides, to ensure that the whole team is absolutely reliable in the party, absolutely loyal to the politics, to be in line with the party's core core values at any time and in any situation; to always remain in a high level of consistency with Xi Jinping's core values; to always be mindful of the great leaders of Xi Jinping, to put the work of the party and the national leadership in mind to plan ahead and to make greater contributions to the mission of the new era."
"　　面对党中央和习近平总书记交给的光荣使命、党和人民赋予的神圣权力，纪检监察机关必须始终保持敬畏之心，切实加强纪检监察工作规范化法治化正规化建设，以更高标准、更严要求，打造忠诚干净担当、敢于善于斗争的纪检监察铁军
","In the face of the honorable mission given to the Party Central Committee and General Secretary Xi Jinping, the sacred power given to the Party and the people, the judiciary oversight bodies must always maintain a heart of awe, strengthen the judiciary oversight work, standardize the legislative and normalisation of construction, to raise standards, more stringent requirements, build a loyal and clean responsibility, brave to fight the judiciary oversight ironclad army."
"　　（八）开展“纪检监察工作规范化法治化正规化建设年”行动，着力推动纪检监察铁军建设再上新台阶　　切实推动健全全面从严治党体系
","(e) To carry out the work of regularization of the surveillance of the Iron Curtain, the regulation of the rule of law, the normalisation of the construction of the Iron Curtain, the efforts to promote the construction of the Iron Curtain and the development of the Iron Curtain, and the effective promotion of the overall reform of the system of the ruling party."
"督促各级党组织用系统思维、科学方法推进管党治党内容全涵盖、对象全覆盖、责任全链条、制度全贯通，进一步健全上下贯通、执行有力的组织体系，固本培元、凝心铸魂的教育体系，精准发力、标本兼治的监管体系，科学完备、有效管用的制度体系，主体明确、要求清晰的责任体系
","Urge the party organizations at all levels to promote the full coverage of the Party-ruled content, the full coverage of the Party, the full coverage of the objects, the entire chain of responsibility, the full integration of the system, further improving the overall implementation, the implementation of a strong organizational system, the solid foundation, the cohesive education system, the precise driving force, the model and the regulated regulatory system, the scientific completeness, the system of effective governance, the subject clear, the requirement of clear responsibility system."
"　　切实履行纪委（纪检组）监督责任
",The Commission has also been asked to provide a detailed report on the implementation of the Commission's responsibility to oversee the implementation of the Regulation.
"做实专责监督，把更多时间和精力用到监督上，确保监督不缺位
","To do a real duty of supervision, to spend more time and energy on supervision, to ensure that supervision is not lacking."
"聚焦主责主业，确保监督不泛化虚化
",Focus on the main responsibilities of the industry and ensure that supervision does not become generalized.
"突出“监督的再监督”，督促各责任主体把责任扛起来，确保监督不越位
","The Commission also highlighted the need for further supervision, urging all responsible actors to take responsibility and ensure that supervision is not excessive."
"　　切实督促职能部门履行监管责任
",The Commission is also working to ensure that the relevant regulatory authorities are fully accountable for their regulatory responsibilities.
"坚持管行业管业务必须强监管，坚决纠治监管缺失缺位、管党治党乏力问题，防止以纪委监督代替部门监管
","The governance of the management industry must be strictly regulated, resolutely addressed the lack of regulatory vacancies, the weakness of the governing party, and prevented the replacement of sectoral regulation by the supervisory committee."
"对监管责任落实不力的职能部门及相关责任人，依规依纪依法追究责任
",The functional sector and the persons responsible for the failure to implement the regulatory responsibilities shall be held liable in accordance with the law and the law.
"　　切实督促党委（党组）履行主体责任
",The party group urged the party committee to fulfill its main responsibilities.
"督促党委（党组）认真执行全面从严治党主体责任规定、加强对“一把手”和领导班子监督的意见，加强对本地区本单位本系统全面从严治党工作的领导，坚决纠正只抓业务不抓风纪、只管发展不治腐败等问题
","Urges the Party Committee (Party Group) to implement the comprehensive provisions of the responsibility of the party's main party, strengthen the views on the supervision of the leadership and leadership team, strengthen the leadership of the local unit system from the work of the party, and resolutely correct the problems of business not to claw, development not to rule corruption, etc."
"督促“一把手”扛起第一责任人责任、领导班子其他成员履行“一岗双责”，直面问题、敢抓敢管，坚决防止事前当“老好人”、事后当“诸葛亮”
","Encourage the other members of the leadership team to fulfill their duties, face the problems, dare to take the lead, and resolutely prevent the problems before the elderly are angry, and the problems afterwards."
"　　全面从严治党要巩固历史性成就、取得更大成效，必须坚持以“两个责任”抓纲带目，在党中央集中统一领导下，健全各负其责、统一协调的管党治党责任格局，不断巩固发展全党动手一起抓的良好局面
","In order to consolidate the historical achievements of the ruling party and achieve greater results, it is necessary to insist on the two-pronged responsibility, under the united leadership of the party center, to consolidate the overall and coordinated governance of the party, and to consolidate the good situation in which the whole party develops."
"　　（七）强化全面从严治党政治责任，着力推动严的基调一贯到底　　推动完善党和国家监督体系
","(vii) Strengthen the overall political responsibility of the ruling party from the ruling party, focusing on promoting strict tuning and continuing to promote the improvement of the party and national surveillance system."
"以党内监督为主导，推动党委（党组）履行全面监督职责，加强对各类监督主体的领导和统筹，确保党的领导和监督一贯到底
","The Party Committee (PSC) is led by internal supervision and promotes the full implementation of the Party Committee's supervision duties, strengthening the leadership and coordination of all types of supervisory bodies, ensuring the consistent leadership and supervision of the Party."
"以专责监督为主干，制定纪检监察机关（机构）在监督检查审查调查工作中协作配合规定，优化“组组”协同监督、“室组”联动监督、“室组地”联合办案、“室组地校企巡”协调联动机制，明确具体职责，规范工作程序，优化审批流程，促进“四项监督”统筹衔接常态化制度化
","The Commission shall establish a single supervisory authority with the sole responsibility of supervising, establishing a single supervisory authority (a body) for the coordination of supervisory inspection and review investigations, the coordination of supervisory and supervisory activities, the coordination of supervisory and supervisory activities, the coordination of supervisory activities, the coordination of supervisory and supervisory activities, the coordination of supervisory activities, the coordination of the coordination of the activities of the supervisory and supervisory authorities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities of the supervisory authorities, the coordination of the supervisory and supervisory authorities, the coordination of the supervisory and supervisory authorities, the coordination of the supervisory and the supervisory authorities, the coordination of the supervisory and the supervisory authorities and the supervisory authorities."
"以基层监督为支撑，持续优化基层纪检监察机构设置和力量配备，健全空编人员动态补充机制，提升基层纪检监察监督质效
","Supporting the implementation of grassroots supervision, continuously optimizing the establishment and strengthening of grassroots supervisory institutions, strengthening the dynamic complementation mechanism of the staff, and improving the quality of grassroots supervisory supervision."
"以各类监督贯通协调为保障，深化拓展纪检监察监督与审计监督、财会监督、统计监督等协作配合机制
","The cooperation mechanisms for the coordination of all kinds of supervision, including the protection and deepening of the scope of the collaborative mechanisms for supervisory and audit supervision, financial supervisory and statistical supervision, are being developed."
"　　推进纪检监察机构改革
",The government has also launched a new policy on the reform of the judiciary and the supervisory authorities.
"深化纪委监委机关内设机构改革，完善职能配置、机构设置、力量配备，优化监督检查和审查调查机构职能，提高监督执纪执法综合效能
","deepen the institutional reforms within the regulatory authority, improve functional configuration, institutional set-up and strength-building, optimize the functioning of the supervisory inspection and review of the investigative authority, and improve the overall effectiveness of the supervisory and enforcement of the law."
"深化派驻机构改革，完成向中管企业全面派驻纪检监察组
",Deepen the reform of the deployment institution and complete the full deployment of the DPO monitoring group to the Central governments.
"深化派驻监督向下延伸，制定监察“再派出”的指导意见，稳慎有序推动有关派驻机构向驻在单位的下一级单位、部属高校和国务院国资委管理领导班子的中央企业“再派出”，强化对“再派出”监察人员的管理监督
","The Ministry of Defence and Security has also extended the period of deployment downwards, developed guidelines for the deployment of surveillance units and sentries, and has been steadily and systematically promoting the deployment of surveillance units to the next level units of the units, the Central Enterprise Unit of the Ministry of Education and the State Council's State Finance Committee, and strengthened the administrative supervision of the deployment of surveillance personnel."
"完善中央和国家机关部门机关纪委监督执纪工作机制
",Improving the mechanism of enforcement oversight by the Central and State Border Commission in the Central and State Border Departments
"因地制宜深化县级派驻机构集中办公、片区协作等工作机制
","The government has also proposed a mechanism to deepen the work of the district-level deployment agencies, such as the centralized office, the cooperation of the regions."
"规范省以下派驻机构考核工作，用好考核结果，发挥激励作用
",The following institutions are established in the province to regulate the audit work and to act as incentives to use good results of the audit.
"　　加强纪检监察法规制度建设
",Strengthen the establishment of the regulatory system for judicial supervision
"推动完善党内法规制度体系，协助党中央制定规范诫勉工作的法规、制定党委（党组）对下级“一把手”开展监督谈话工作办法、修订《国有企业领导人员廉洁从业若干规定》
","To promote the improvement of the system of regulation within the Party, to assist the Party Central in the development of regulations that regulate the hard work of the Party; to establish the Party Committee (Partisan Group) to supervise the working methods of the talks with the subordinate leadership; to amend some of the rules for the honest practice of the leaders of state-owned enterprises;"
"健全反腐败法律法规体系，配套修改监察法实施条例，起草反跨境腐败法，修订《关于加强和完善监察执法与刑事司法衔接机制的意见（试行）》
","Strengthen the legal and regulatory system against corruption, support the revision of the Regulations for the implementation of the Law on Supervision, drafting the Law on Anti-Cross-Border Corruption, and amend the Opinions on Strengthening and Improving the Mechanism of Linking Supervision Enforcement and Criminal Justice."
"推进监督执纪执法规范化建设，修订《纪检监察机关处理主动投案问题的规定（试行）》，制定监察公开工作条例、审查调查安全工作规定，以及中央纪委国家监委派驻纪检监察组和中管企业、中管高校纪检监察机构监督检查审查调查措施使用管理办法
","Promote the establishment of regulatory oversight and enforcement, amend the regulations of the Supervisory Board of Supervisors to deal with the issues of proactive filing, prepare the regulations for the public work of supervision, review investigative security work, and use of management measures by the National Supervisory Board of the Central Board of Supervisors to supervise the Supervisory Board of Supervisors and the Central Board of Supervisors of Supervisors of Supervisory Supervisors of Supervisory Supervisory Agencies and Supervisory Board of Supervisory Supervisory Supervisors of Supervisory Supervisory Supervisory Supervisory Agencies of Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervis"
"　　纪检监察体制改革是进一步全面深化改革的重要组成部分，必须深入落实党的二十届三中全会关于纪检监察体制改革战略部署，以制度建设为主线，以深化机构改革为重点，以增强系统性协同性有效性为着力点，通过重点改革突破带动全局工作提升
","The reform of the system of judicial supervision is an important part of further comprehensive and deepening reforms, which must be implemented in depth at the 20th Session of the Third National Congress on the implementation of the Strategy for Reform of the system of judicial supervision, with a focus on institutional reform, with a focus on deepening institutional reform, to enhance the effectiveness of systemic co-operation and to advance the overall work through key reforms and breakthroughs."
"
",The first is
"  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
","To this end, relevant departments will implement planning and implementation of supervision, strengthen supervision inspections of the strictly observed baseline of space security, and strongly maintain the authority and seriousness of the planning; implement monitoring assessment pre-warning mechanisms and optimized adjustment mechanisms for the national geospatial planning; strengthen the planning of regular medical examinations and five-year assessments, based on the results of medical examinations, and combine the national economic and social development plan with timely optimization of the planning adjustments, and actively adapt to the new needs of economic and social development."
"  自然资源部有关负责人强调，要强化规划权威
",The Ministry of Natural Resources's relevant heads stressed the need to strengthen planning authority.
"规划一经批复，任何部门和个人不得随意修改、违规变更，防止出现换一届党委和政府改一次规划
","The plan, once criticized, must not be modified or altered by any department or individual to prevent another Party Committee or Government from changing the plan."
"下级国土空间规划要服从上级国土空间规划，相关专项规划、详细规划要服从总体规划；坚持先规划、后实施，不得违反国土空间规划进行各类开发建设活动；坚持“多规合一”，不在国土空间规划体系之外另设其他空间规划
","Sub-national space planning must obey the upper-national space planning, special planning and detailed planning must obey the overall planning; adhere to pre-planning and post-implementation, must not violate the national space planning for development and construction activities; adhere to the multi-discipline, and not to alternative space planning other than the national space planning system."
"  此外，规划将统筹农业、生态、城镇空间，完善城镇体系和村庄布局，完善城市功能结构和空间布局，协调产业布局、综合交通、设施配置和土地使用，统筹水利、能源、环境、通信、国防等基础设施以及城乡公共服务设施布局等
","In addition, the plan will include the consolidation of agricultural, ecological, town space, improvement of town and village layout, improvement of urban functional and spatial layout, coordination of industrial layout, integrated transportation, facility allocation and land use, consolidation of water, energy, environment, communications, defense, and infrastructure, as well as urban and rural public service facilities."
"加强规划与土地政策融合，统筹增量和存量空间，大力盘活存量空间，科学有序推进低效用地再开发和土地综合整治，加强地上地下空间一体化规划和利用，推动土地利用提质增效，为城市转型发展和有机更新提供新动能
","Strengthen planning and land policy integration, consolidate growth and storage space, intensify the use of live storage space, advance scientifically the efficient development of inefficient land and land integrated rehabilitation, strengthen the integration of land and underground space planning and utilization, promote the increased efficiency of land use, and provide renewable energy for urban transformation and organic renewal."
"
",The first is
"  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
","To this end, relevant departments will implement planning and implementation of supervision, strengthen supervision inspections of the strictly observed baseline of space security, and strongly maintain the authority and seriousness of the planning; implement monitoring assessment pre-warning mechanisms and optimized adjustment mechanisms for the national geospatial planning; strengthen the planning of regular medical examinations and five-year assessments, based on the results of medical examinations, and combine the national economic and social development plan with timely optimization of the planning adjustments, and actively adapt to the new needs of economic and social development."
"
",The first is
